name_q,name_u,views
%27Abd_al-Ilah,'Abd_al-Ilah,12
%C3%81ine_Brady,Áine_Brady,1411
%C3%81kos_Birtalan,Ákos_Birtalan,754
%C3%81lvaro_Alsogaray,Álvaro_Alsogaray,1232
%C3%81lvaro_Ara%C3%BAjo_Castro,Álvaro_Araújo_Castro,954
%C3%81lvaro_Arz%C3%BA,Álvaro_Arzú,5988
%C3%81lvaro_Colom,Álvaro_Colom,48758
%C3%81lvaro_Cunhal,Álvaro_Cunhal,9441
%C3%81lvaro_Fayad,Álvaro_Fayad,1
%C3%81lvaro_G%C3%B3mez_Hurtado,Álvaro_Gómez_Hurtado,2128
%C3%81lvaro_Garc%C3%ADa_Linera,Álvaro_García_Linera,15647
%C3%81lvaro_Garc%C3%ADa_Rodr%C3%ADguez,Álvaro_García_Rodríguez,9
%C3%81lvaro_Noboa,Álvaro_Noboa,7901
%C3%81lvaro_Obreg%C3%B3n,Álvaro_Obregón,55668
%C3%81lvaro_P%C3%A9rez_Morales,Álvaro_Pérez_Morales,555
%C3%81lvaro_Uribe,Álvaro_Uribe,134736
%C3%81lvaro_de_Albornoz,Álvaro_de_Albornoz,28
%C3%81ngel_Acebes,Ángel_Acebes,1370
%C3%81ngel_Borlenghi,Ángel_Borlenghi,863
%C3%81ngel_Carvajal_Bernal,Ángel_Carvajal_Bernal,50
%C3%81ngel_Maza,Ángel_Maza,1091
%C3%81ngel_O._Berr%C3%ADos,Ángel_O._Berríos,738
%C3%81ngel_Pesta%C3%B1a,Ángel_Pestaña,1970
%C3%81ngel_Roberto_Seifart,Ángel_Roberto_Seifart,309
%C3%81ngel_Rozas,Ángel_Rozas,715
%C3%81ngel_Sergio_Guerrero_Mier,Ángel_Sergio_Guerrero_Mier,734
%C3%81rni_Mathiesen,Árni_Mathiesen,2096
%C3%81rni_P%C3%A1ll_%C3%81rnason,Árni_Páll_Árnason,50
%C3%81rp%C3%A1d_G%C3%B6ncz,Árpád_Göncz,6729
%C3%81rp%C3%A1d_H%C3%A1zi,Árpád_Házi,247
%C3%81rp%C3%A1d_Szakasits,Árpád_Szakasits,3020
%C3%81sgeir_%C3%81sgeirsson,Ásgeir_Ásgeirsson,7083
%C3%81sta_Ragnhei%C3%B0ur_J%C3%B3hannesd%C3%B3ttir,Ásta_Ragnheiður_Jóhannesdóttir,5403
%C3%85sa_Torstensson,Åsa_Torstensson,2679
%C3%85se_Klundelien,Åse_Klundelien,504
%C3%85se_Marie_Hagen,Åse_Marie_Hagen,392
%C3%85slaug_Haga,Åslaug_Haga,2765
%C3%88ve-Mary_Tha%C3%AF_Thi_Lac,Ève-Mary_Thaï_Thi_Lac,2308
%C3%89amon_%C3%93_Cu%C3%ADv,Éamon_Ó_Cuív,8446
%C3%89amon_de_Valera,Éamon_de_Valera,188798
%C3%89dgar_Perea,Édgar_Perea,1090
%C3%89dith_Cresson,Édith_Cresson,17544
%C3%89douard_Balladur,Édouard_Balladur,14792
%C3%89douard_Bonnefous,Édouard_Bonnefous,30
%C3%89douard_Charton,Édouard_Charton,1133
%C3%89douard_Corniglion-Molinier,Édouard_Corniglion-Molinier,53
%C3%89douard_Daladier,Édouard_Daladier,42443
%C3%89douard_Fillias,Édouard_Fillias,1151
%C3%89douard_Fritch,Édouard_Fritch,2
%C3%89douard_Grinda,Édouard_Grinda,815
%C3%89douard_Herriot,Édouard_Herriot,6878
%C3%89douard_Herv%C3%A9,Édouard_Hervé,404
%C3%89douard_Vaillant,Édouard_Vaillant,1150
%C3%89lie_Aboud,Élie_Aboud,970
%C3%89lie_Hoarau,Élie_Hoarau,865
%C3%89lie_Lescot,Élie_Lescot,4112
%C3%89lisabeth_Guigou,Élisabeth_Guigou,3900
%C3%89lisabeth_Morin,Élisabeth_Morin,929
%C3%89loi_Machoro,Éloi_Machoro,252
%C3%89mile_Boga_Doudou,Émile_Boga_Doudou,1658
%C3%89mile_Borel,Émile_Borel,15160
%C3%89mile_Chartier,Émile_Chartier,7857
%C3%89mile_Combes,Émile_Combes,5611
%C3%89mile_Derlin_Zinsou,Émile_Derlin_Zinsou,2188
%C3%89mile_Driant,Émile_Driant,3865
%C3%89mile_Hamilius,Émile_Hamilius,1005
%C3%89mile_Hugues,Émile_Hugues,16
%C3%89mile_Krieps,Émile_Krieps,941
%C3%89mile_Nau,Émile_Nau,63
%C3%89mile_Reuter,Émile_Reuter,1736
%C3%89mile_Vanfasse,Émile_Vanfasse,1
%C3%89mile_Zuccarelli,Émile_Zuccarelli,1369
%C3%89mile_Zurlinden,Émile_Zurlinden,1292
%C3%89milienne_Moreau-Evrard,Émilienne_Moreau-Evrard,1324
%C3%89ric_Besson,Éric_Besson,15191
%C3%89ric_Ciotti,Éric_Ciotti,672
%C3%89ric_Diard,Éric_Diard,430
%C3%89ric_Mercier,Éric_Mercier,2
%C3%89rik_Orsenna,Érik_Orsenna,3871
%C3%89tienne-Denis_Pasquier,Étienne-Denis_Pasquier,1964
%C3%89tienne_Charles_de_Lom%C3%A9nie_de_Brienne,Étienne_Charles_de_Loménie_de_Brienne,5280
%C3%89tienne_Constantin_de_Gerlache,Étienne_Constantin_de_Gerlache,110
%C3%89tienne_Davignon,Étienne_Davignon,36283
%C3%89tienne_Fran%C3%A7ois%2C_duc_de_Choiseul,"Étienne_François,_duc_de_Choiseul",130
%C3%89tienne_Guy,Étienne_Guy,856
%C3%89tienne_Maurice_G%C3%A9rard,Étienne_Maurice_Gérard,6948
%C3%89tienne_Pinte,Étienne_Pinte,1652
%C3%89tienne_Schmit,Étienne_Schmit,775
%C3%89tienne_Tardif_de_Pommeroux_de_Bordesoulle,Étienne_Tardif_de_Pommeroux_de_Bordesoulle,1197
%C3%89tienne_Tshisekedi,Étienne_Tshisekedi,3319
%C3%8Dngrid_Betancourt,Íngrid_Betancourt,93214
%C3%8Dtalo_Argentino_L%C3%BAder,Ítalo_Argentino_Lúder,2080
%C3%92scar_Ribas_Reig,Òscar_Ribas_Reig,2406
%C3%93lafur_J%C3%B3hannesson,Ólafur_Jóhannesson,5211
%C3%93lafur_Ragnar_Gr%C3%ADmsson,Ólafur_Ragnar_Grímsson,53709
%C3%93lafur_Thors,Ólafur_Thors,5019
%C3%93scar_Arias,Óscar_Arias,71708
%C3%93scar_Berger,Óscar_Berger,11838
%C3%93scar_Carmona,Óscar_Carmona,3549
%C3%93scar_Diego_Gestido,Óscar_Diego_Gestido,1713
%C3%93scar_Jorge,Óscar_Jorge,563
%C3%93scar_Ornelas,Óscar_Ornelas,626
%C3%93scar_P%C3%A9rez_Torres,Óscar_Pérez_Torres,1007
%C3%93scar_R._Benavides,Óscar_R._Benavides,3595
%C3%96d%C3%B6n_Beniczky,Ödön_Beniczky,326
%C3%96gmundur_J%C3%B3nasson,Ögmundur_Jónasson,1476
%C3%96mer_%C4%B0zgi,Ömer_İzgi,160
%C3%96ssur_Skarph%C3%A9%C3%B0insson,Össur_Skarphéðinsson,3282
%C3%96sten_Und%C3%A9n,Östen_Undén,1664
%C3%96zcan_Mutlu,Özcan_Mutlu,1013
%C3%98ystein_Djupedal,Øystein_Djupedal,2211
%C3%98ystein_Hedstr%C3%B8m,Øystein_Hedstrøm,257
%C3%98yvind_Bjorvatn,Øyvind_Bjorvatn,519
%C3%98yvind_H%C3%A5brekke,Øyvind_Håbrekke,660
%C3%98yvind_Heian,Øyvind_Heian,23
%C3%98yvind_Korsberg,Øyvind_Korsberg,832
%C3%98yvind_Sl%C3%A5ke,Øyvind_Slåke,1158
%C3%9E%C3%B3runn_Sveinbjarnard%C3%B3ttir,Þórunn_Sveinbjarnardóttir,1109
%C3%9Eorger%C3%B0ur_Katr%C3%ADn_Gunnarsd%C3%B3ttir,Þorgerður_Katrín_Gunnarsdóttir,3986
%C3%9Eorsteinn_P%C3%A1lsson,Þorsteinn_Pálsson,3733
%C4%8Aensu_Tabone,Ċensu_Tabone,3260
%C4%8Cedomilj_Mijatovi%C4%87,Čedomilj_Mijatović,1510
%C4%8Cedomir_Anti%C4%87,Čedomir_Antić,24
%C4%8Cedomir_Jovanovi%C4%87,Čedomir_Jovanović,9828
%C4%90%E1%BB%97_M%C6%B0%E1%BB%9Di,Đỗ_Mười,6411
%C4%90or%C4%91e_Simi%C4%87,Đorđe_Simić,171
%C4%90ur%C4%91a_Adle%C5%A1i%C4%8D,Đurđa_Adlešič,2611
%C4%90ur%C4%91e_Ninkovi%C4%87,Đurđe_Ninković,802
%C4%90uro_Pucar,Đuro_Pucar,268
%C4%B0smail_Cem,İsmail_Cem,2473
%C4%B0smet_%C4%B0n%C3%B6n%C3%BC,İsmet_İnönü,41208
%C4%B0smet_Sezgin,İsmet_Sezgin,163
%C4%BDubom%C3%ADr_Jahn%C3%A1tek,Ľubomír_Jahnátek,93
%C4%BDudov%C3%ADt_%C5%A0t%C3%BAr,Ľudovít_Štúr,12485
%C4%BDudov%C3%ADt_Kan%C3%ADk,Ľudovít_Kaník,22
%C5%8Ce_Taku,Ōe_Taku,793
%C5%8Ckubo_Toshimichi,Ōkubo_Toshimichi,16612
%C5%8Ckuma_Shigenobu,Ōkuma_Shigenobu,13401
%C5%8Cmura_Masujir%C5%8D,Ōmura_Masujirō,7113
%C5%8Cura_Kanetake,Ōura_Kanetake,5
%C5%9E%C3%BCkr%C3%BC_Saraco%C4%9Flu,Şükrü_Saracoğlu,5115
%C5%9E%C3%BCkr%C3%BC_Sina_G%C3%BCrel,Şükrü_Sina_Gürel,1341
%C5%9Eemsettin_G%C3%BCnaltay,Şemsettin_Günaltay,2367
%C5%A0ime_%C4%90odan,Šime_Đodan,1372
%C5%A0tefan_Osusk%C3%BD,Štefan_Osuský,773
%C5%A0tefan_Tiso,Štefan_Tiso,1832
%C5%BDarko_Domljan,Žarko_Domljan,132
%C5%BDarko_Kora%C4%87,Žarko_Korać,3930
%C5%BDarko_Obradovi%C4%87,Žarko_Obradović,2250
%C5%BDeljka_Antunovi%C4%87,Željka_Antunović,3739
%C5%BDeljko_%C5%A0turanovi%C4%87,Željko_Šturanović,2986
%C5%BDeljko_Kerum,Željko_Kerum,5390
%C5%BDeljko_Kom%C5%A1i%C4%87,Željko_Komšić,19420
%C5%BDeljko_Reiner,Željko_Reiner,2
%C5%BDivko_Radi%C5%A1i%C4%87,Živko_Radišić,2840
%C5%BDivko_Topalovi%C4%87,Živko_Topalović,64
A%C3%A9cio_Neves,Aécio_Neves,5672
A%C3%AFchatou_Mindaoudou,Aïchatou_Mindaoudou,1598
A.R._Jamali,A.R._Jamali,583
A._Amirthalingam,A._Amirthalingam,198
A._B._A._Ghani_Khan_Choudhury,A._B._A._Ghani_Khan_Choudhury,2928
A._B._Franklin,A._B._Franklin,28
A._B._M._Mohiuddin_Chowdhury,A._B._M._Mohiuddin_Chowdhury,923
A._B._Shetty,A._B._Shetty,1033
A._C._Clemons,A._C._Clemons,1326
A._Chinnasami,A._Chinnasami,166
A._D._Patel,A._D._Patel,1531
A._Edison_Stairs,A._Edison_Stairs,966
A._F._M._Ahsanuddin_Chowdhury,A._F._M._Ahsanuddin_Chowdhury,1295
A._G._Crowe,A._G._Crowe,482
A._G._S._Ram_Babu,A._G._S._Ram_Babu,168
A._J._John,A._J._John,1851
A._J._McNamara,A._J._McNamara,1592
A._K._Antony,A._K._Antony,27059
A._K._Fazlul_Huq,A._K._Fazlul_Huq,10374
A._K._Gopalan,A._K._Gopalan,9296
A._K._Khandker,A._K._Khandker,1236
A._L._Rowse,A._L._Rowse,10435
A._L._Zissu,A._L._Zissu,1
A._N._R._Robinson,A._N._R._Robinson,11825
A._Nesamony,A._Nesamony,694
A._P._J._Abdul_Kalam,A._P._J._Abdul_Kalam,194620
A._P._Patro,A._P._Patro,1566
A._P._Tugwell,A._P._Tugwell,829
A._Philip_Randolph,A._Philip_Randolph,132030
A._Q._M._Badruddoza_Chowdhury,A._Q._M._Badruddoza_Chowdhury,2947
A._R._Antulay,A._R._Antulay,2285
A._R._Colquhoun,A._R._Colquhoun,838
A._Raja,A._Raja,21051
A._Sampath,A._Sampath,345
A._Samraj,A._Samraj,127
A._Subbarayalu_Reddiar,A._Subbarayalu_Reddiar,1476
A._Tamilarasi,A._Tamilarasi,785
A._Vaikuntam,A._Vaikuntam,93
A._W._Norblad,A._W._Norblad,1970
A._Walter_Norblad,A._Walter_Norblad,1427
Aad_Kosto,Aad_Kosto,402
Aamir_Hayat_Khan_Rokhri,Aamir_Hayat_Khan_Rokhri,28
