name,gender
Bektas+Beknazarov,Male
Radha+Gyawali,Female
Takao+Watanabe,Male
Yang+Xuangan,Unknown
Shiferaw+Shigute,Male
Sahak+Ter-Gabrielyan,Male
Antonín+Zápotocký,Male
"Gaspar+Méndez+de+Haro,+7th+Marquis+of+Carpio",Unknown
Wijepala+Hettiarachchi,Male
Xu+Jingqian,Unknown
Ștefan+Ciobanu,Male
Chu+Văn+An,Unknown
Chang+Kia-ngau,Male
Si+Xinliang,Male
Chen+Gang+(born+1906),Male
Tomàs+Caylà+i+Grau,Male
Lin+Yu-fang,Male
Vasava+Motilal+Puniyabhai,Male
Daishiro+Yamagiwa,Male
Nguyễn+Cơ+Thạch,Male
M.+L.+Ahamed+Fareeth,Male
Mohinder+Goyal,Male
Édgar+Núñez+(politician),Male
Xiao+Xian,Female
Li+Yinheng,Male
Sardarmal+Lalwani,Male
Chen+Fan,Unknown
Riffat+Akbar+Swati,Unknown
Gorakh+Prasad+Jaiswal,Unknown
Sun+Qingyun,Male
Karl-Hans+Kern,Male
Deendayal+Gupta,Male
Noël+Mamère,Male
"Qurban+Hussain,+Baron+Hussain",Male
Éamon+Ó+Cuív,Male
Wang+Xiaotang,Female
Srinjoy+Bose,Male
Jan+Hendrik+de+Waal+Malefijt,Male
Han+Yunzhong,Female
Kong+Fei,Male
Pon.+Raja,Male
S.+Kajendran,Male
Abang+Haji+Abdillah,Male
Satypal+Dang,Male
Parakala+Prabhakar,Male
Cai+Ming+(politician),Male
Wong+Sze+Phin,Male
A.+J.+John,Male
Risad+Badhiutheen,Male
Asyia+Naz+Tanoli,Female
Achérif+Ag+Mohamed,Male
Xu+Mengjia,Female
Leander+D.+Condee,Male
Sanchaman+Limboo,Male
Aníbal+Pérez,Male
Alidius+Tjarda+van+Starkenborgh+Stachouwer,Male
Édgar+Perea,Male
Jan+Beránek,Male
Thanga+Tamil+Selvan,Male
Sun+Ru,Female
Hisaoki+Kamei,Male
Péter+Schell,Male
Ljubčo+Georgievski,Male
Lenín+Moreno,Male
Clermont+Gervais+Mahazaka,Unknown
Ödön+Mikecz,Male
Premdas+Katheria,Male
Seán+Dorgan,Male
N.+D.+N.+P.+Jayasinghe,Male
Cheng+Dechen,Female
Goparam+Meghwal,Male
Kirata+Temamaka,Male
Pól+Ó+Foighil,Male
Chen+Jingxuan,Female
Opicino+Spinola,Male
Lu+Kang+(Han+dynasty),Unknown
Rajmond+Hoxha,Male
Xie+Jieshi,Male
Román+Padilla+Fierro,Male
C.+L.+B.+Rogers,Male
Sun+Qian,Female
Chang+Pei-chih,Male
Kamlakar+Singh,Male
Malla+Reddy,Male
Mykhailo+Kovenko,Male
Issifu+Ali,Male
Diderik+Iversen+Tønseth,Male
Kunwarjibhai+Mohanbhai+Bavaliya,Male
Dr.+U.+Bapputty+Haji,Male
Rajabboy+Norkallayev,Male
Bharatsinh+Madhavsinh+Solanki,Male
A.+Coomaraswamy,Male
Ng+Chau-pei,Male
Ștefan+Gonata,Male
Wistin+Abela,Male
Etō+Shimpei,Male
Armand-Pierre+Angrand,Male
Raül+Romeva,Male
Gurgis+Shlaymun,Male
Li+Wei+(Qing+dynasty),Male
Li+Mengling,Female
P.+Indra+Reddy,Male
Yu+Chuansu,Unknown
Granville+Slack,Male
Yelü+Chucai,Unknown
Hilowle+Imam+Omar,Male
Ambeth+Rajan,Male
Auguste-Célestin+Gongarad+Nkoua,Male
Sigmund+Larsen,Male
Benjamín+Castillo+Valdez,Male
Enneüs+Heerma,Male
Lütfi+Elvan,Male
Kavuri+Samba+Siva+Rao,Male
Jenő+Balogh,Male
Päiviö+Hetemäki,Male
Wang+Jingren,Unknown
'Abd+al-Ilah,Male
Óscar+Cantón+Zetina,Male
Liu+Tienan,Male
Émile+Rigaud,Male
Ģirts+Valdis+Kristovskis,Male
Nguyễn+Văn+Bình+(politician),Male
Elemér+Csák,Male
Jan+Rudolph+Slotemaker+de+Bruïne,Male
Jan-Evert+Rådhström,Male
Sidónio+Pais,Male
Lu+Wei+(politician),Male
Oene+Sierksma,Male
Nandimithra+Ekanayake,Male
Kanchana+Wijesekera,Male
Aladár+Andrássy,Male
Xun+Shuang,Unknown
Vijayrao+Bhaskarrao+Auti,Male
Hirokazu+Matsuno,Male
Jules-François-Paul+Fauris+de+Saint-Vincens,Male
Dharmasiri+Dassanayake,Male
Khamchanh+Sakountava,Male
Dudu+Amsalem,Male
Hidalgo+Contreras,Male
Óscar+Felipe+Ventura,Unknown
Awdy+Kulyýew,Male
Wei+Quanfeng,Unknown
Teófilo+Carvalho+dos+Santos,Male
"Alvah+W.+Burlingame,+Jr.",Male
Cang+Ci,Male
Yoshiro+Yokomine,Male
Cozmin+Gușă,Male
Mulu+Ayar+Bera,Male
Trương+Tấn+Sang,Male
Li+Tse-fong,Male
Shinzō+Abe,Male
Bonda+Umamaheswara+Rao,Male
