from,to
1013440,734157
1013440,1067626
1013440,1033173
1013579,287243
1013579,365842
1013579,492312
1013579,936022
1013579,384560
1013579,942802
1013579,391575
1013579,878859
1013623,438994
1013638,1130903
1013638,865901
1013638,50414
1013688,334460
1013688,1118769
1013688,2878
1013688,623609
1013688,1067225
1013688,386402
1013688,218551
1013688,436197
1013688,478031
1014164,1083848
1014248,744372
1014248,625612
1014248,594995
10143,479851
10143,409611
10143,781773
10143,279651
10143,500050
10143,433139
10143,235943
10143,1068040
10143,1078241
10143,409097
10143,768511
10143,681097
10143,572453
10143,370139
10143,235973
10143,160377
10143,841078
10143,1003331
10143,58955
10143,730783
10143,747313
10143,952019
10143,547869
10143,749102
10143,619211
10143,549569
10143,992792
10143,938090
10143,881590
1014364,465160
1014364,429995
1014364,498451
101442,168402
101442,402521
101442,240473
101442,719758
1014848,777670
1014956,293144
101563,424725
101563,665259
101563,290017
101563,635333
1015761,1094217
1015761,96727
1015761,875887
1015974,174567
1015974,1139837
1016029,1153703
1016091,498639
1016091,146501
1016091,254251
1016091,668368
1016091,17664
1016181,94584
1016181,498258
1016181,547139
1016181,174567
1016305,67970
1016451,922207
1016451,75121
1016463,724090
1016463,563500
101647,672193
101647,847881
101647,398186
101647,1033173
1016500,714848
1016571,436638
1016571,308155
1016571,101711
1016571,647703
1016571,76700
1016571,366014
1016571,879246
1016615,319226
1016615,216297
1016615,76700
1016615,403182
1016615,1149283
1016615,448646
1016615,970969
1016615,129921
1016615,1165523
1016615,100638
1016615,395425
1016766,882120
1016766,96375
1016766,379626
1016803,444114
1016803,707528
1016803,519813
1016847,57137
1016847,547905
1016885,816086
101711,534392
101711,1016615
101711,448646
101711,350106
101711,246370
101711,308155
101711,479851
101711,879246
101711,525325
101711,304843
101711,772857
101711,693828
101711,843335
101711,1016571
101711,852717
1017244,181989
1017244,983827
1017244,481914
1017256,668368
1017256,1018105
1017256,685545
1017433,761401
1017583,463258
1017583,938599
1017694,1118769
1017699,813080
1017699,491391
1017699,1056504
1017699,764551
1017699,846413
1017699,743895
1017699,922179
1017699,580161
1017699,113496
1017699,135923
1017699,498228
1017717,141817
1017717,635701
1018105,1017256
1018105,581794
1018105,891102
1018105,1166415
1018105,232132
101831,667934
101831,848588
101831,1136718
101831,49728
101831,12121
101831,239507
101831,655234
101831,991654
1018316,304561
1018316,606255
1018316,158309
1018330,877141
1018330,716357
1018337,684592
1018337,950429
1018337,681254
1018621,483727
1018621,664087
1018682,379452
1018705,454350
101885,1141266
101885,609517
1018951,1131276
1019,971543
1019048,1094759
1019233,855030
1019233,683124
1019233,447988
1019233,749325
1019233,36694
1019233,204645
1019266,874500
1019297,273700
1019297,352166
1019352,827580
1019377,453102
1019393,1002351
1019393,403698
1019393,1130903
1019393,853194
1019393,1164369
1019393,1114807
1019393,941378
1019441,247495
1019441,1063157
101964,126854
101964,47185
101964,444252
101964,701174
1019845,479851
1019845,1094415
1019845,610418
1020093,39168
1020285,1131051
1020285,935030
1020390,276770
102054,1062222
1020680,859940
1020680,312408
102079,81474
102093,165651
102093,844232
102093,1008440
102093,1066350
102093,329191
102093,213501
102093,243781
102093,333297
102093,657192
102093,193419
102093,1133793
102093,247793
102093,843335
102093,685545
102093,799015
102093,250223
102093,1005262
102093,1033265
1021051,500588
1021051,386776
1021051,300982
1021132,369406
1021132,724767
1021132,420274
1021132,386402
1021132,27781
1021132,430840
1021132,671272
1021132,564685
1021132,238460
1021132,377273
1021132,1079101
1021132,272326
1021132,901850
1021193,84025
1021193,779220
1021291,737560
1021291,830747
1021291,988002
1021291,220155
1021291,1057929
1021291,42645
1021291,699706
1021291,371727
1021291,893546
1021380,89540
1021380,277432
1021380,658012
1021380,498258
1021380,853651
1021380,719758
1021468,97514
1021468,501005
1021468,207572
1021543,354988
1021642,739398
1021642,208525
1021642,438474
1021642,191342
1021676,968770
1021736,473398
1021736,484797
1021736,596758
1022005,63407
1022024,365382
1022083,396988
1022083,994621
102228,175698
1022354,765472
1022550,941719
1022550,240692
1022896,242079
1022896,378951
1022896,882120
1023113,707937
1023113,626989
1023131,234399
1023145,933844
1023145,999057
1023145,451104
1023373,997723
1023375,554382
1023400,843335
1023400,1050509
1023400,1023400
1023400,208779
1023400,293144
1023461,208525
1023461,840020
1023606,549259
1023606,107150
1023622,1133106
1023964,1040570
1024349,210973
1024349,282731
1024349,875313
1024349,193419
1024349,875887
1024499,936328
1024580,268345
1024679,1088534
1024679,786492
1024755,888756
1024755,1150361
1024784,1138445
1024784,955404
1025136,674510
1025136,610856
1025136,938090
1025260,648382
1025260,922899
1025260,248170
1025357,769025
1025364,67970
102542,771352
1025545,696010
1025545,501160
1025545,520828
1025545,1077960
1025872,845354
1025872,550982
1025994,762374
1026121,689047
1026121,305839
1026121,27807
1026121,72265
1026121,962419
1026121,773158
1026121,959625
1026121,689012
1026121,569085
1026121,512568
1026121,299660
1026121,658057
1026121,443622
1026121,943699
1026121,901725
1026121,1087276
1026121,482420
1026121,1117259
1026121,623271
1026121,127016
1026121,1135613
1026121,14001
1026121,50378
1026121,820275
1026121,206379
1026121,1117007
1026304,184986
1026304,695456
1026304,934144
1026304,875573
1026304,585248
1026330,888539
1026330,394579
1026330,276770
1026330,211965
1026546,168402
1026662,588431
1026662,859940
1026687,857336
1026687,404351
1026740,774594
1026981,850830
102700,1118769
1027039,514497
1027039,556001
1027039,186078
1027039,695091
1027050,560979
1027050,386402
1027050,1143926
1027050,908417
1027050,918941
1027050,865900
1027050,294226
1027050,478977
1027050,219568
1027050,855655
1027069,1026304
1027069,875573
1027069,934144
1027069,982186
1027275,793397
1027389,383063
1027552,1161613
1027552,386827
1027552,709953
1027552,290017
1027552,389395
1027552,386870
1027569,542702
1027569,947288
1027633,46545
1027633,483237
1027725,553254
1027725,717569
1027725,771352
1027725,994962
1027725,113915
1027749,372159
1027749,604828
1027749,158891
1027749,1027749
1027749,671468
1027749,76700
1027749,409941
1027803,386870
1027803,843335
1027803,253891
1027803,385043
1027803,719204
1027803,204645
1027803,856897
1027803,848909
1027803,302051
1027803,610418
102795,812341
102795,524295
102795,738010
102795,96375
1027986,17187
1027986,517758
1027986,341040
1027995,333270
1027995,11801
1028138,23188
1028138,518429
1028138,470960
102828,823032
102828,646481
102828,1044597
102828,470894
102828,831179
1028390,520035
1028390,901309
1028390,765343
1028407,1103751
1028407,512746
1028407,588245
1028725,847352
1028762,647671
1028762,655234
1028762,821854
1028762,772795
1028949,1032521
1028949,988002
102895,954221
102895,528177
1029201,900785
1029201,52171
1029208,401211
102930,1160671
1029305,668368
1029305,835985
1029305,980540
1029305,976956
1029305,544734
1029305,918094
1029305,60685
1029305,626338
1029305,1073209
1029324,227972
1029351,1094217
1029351,229690
1029351,102093
1029351,113514
1029351,875887
1029351,96727
1029351,989492
1029380,937281
1029380,33605
1029380,554382
1029380,302051
1029380,120227
1029380,843335
1029380,156267
1029394,216047
1029394,1160718
1029402,34052
1029402,796394
1029402,574741
1029404,433139
1029404,95553
1029404,64531
1029416,1006209
1029416,386776
1029416,534224
1029721,953579
1029878,390210
1029878,901758
1029897,802294
1030137,178930
1030314,656343
103032,1003752
103032,124429
103032,322391
103032,165589
103032,1028762
103032,1070774
103032,933501
103032,1116789
103032,570508
103032,762374
10304,556267
1030512,436622
1030512,775012
103054,95160
103054,762798
103054,439342
1030613,1069520
1030728,317241
1030822,374066
1030822,605516
1030822,69594
1030822,535326
1030836,1095019
1030836,452057
1030836,33225
1030836,855488
1030836,1059424
1030836,95870
1030899,1122475
1030899,378516
1030899,1089176
1030899,1040074
1030899,1134524
1030998,778288
1030998,581106
1030998,1150142
1031257,772795
1031322,734157
