from,to
1000016,1086501
1000016,554382
1000016,377630
1000038,777533
1000038,817393
1000038,855817
1000038,168402
1000038,922532
1000051,928639
1000101,370139
1000115,1037624
1000123,197811
1000123,1138439
1000123,170055
1000141,596758
1000141,762374
1000141,61103
1000141,564710
1000202,746614
1000202,875193
1000202,1008257
1000202,803721
1000202,1157376
1000202,744929
100027,95618
100027,59498
1000270,321119
1000270,691221
1000270,243692
1000270,433983
1000270,651010
1000270,824560
1000302,29187
1000302,324604
1000371,524147
1000371,112292
1000371,404351
1000371,1118769
1000371,792590
1000371,745790
1000371,433139
1000371,843335
1000371,867809
1000371,362815
1000371,858976
1000371,454350
1000371,827580
1000371,13751
1000371,771352
1000371,379452
1000371,39756
1000371,333297
1000371,711046
1000392,843335
1000425,164721
1000429,914385
1000429,575251
1000435,59145
1000463,820148
1000463,858273
1000495,36337
1000495,341040
1000495,638390
1000495,493782
1000506,98093
1000506,565159
1000506,920770
1000506,992792
1000517,848786
1000517,845992
1000532,560497
1000551,1072492
1000579,224626
1000588,495215
1000588,940520
1000588,488393
1000644,48459
1000644,25728
1000644,410843
1000649,159881
1000709,271901
1000709,587580
1000709,353565
1000780,1011282
1000780,651486
1000780,1155403
1000780,16017
1000783,550645
1000797,22548
100080,14766
100080,315028
1000834,527889
1000835,419535
1000835,16258
1000835,711092
1000851,80320
1000851,766996
1000851,595123
1000851,377994
1000851,866598
100087,964043
100088,70323
100088,975890
100097,427996
100097,982139
100097,934570
100097,955921
100097,856824
1001014,554379
1001014,342845
1001083,828779
1001083,1032136
1001083,712558
1001083,732333
1001083,938923
1001083,576801
1001104,1075032
1001104,164619
1001121,248322
1001121,599604
1001121,473684
1001121,787432
1001121,982139
1001146,31815
100115,830747
100115,691221
100115,1058417
100115,522354
1001219,396673
1001219,491391
1001219,558946
1001249,1060833
1001266,7792
1001266,810460
1001266,305466
1001284,758565
1001284,521292
1001284,1042381
1001292,144224
1001292,1050201
1001292,757135
1001325,1033173
1001325,84274
1001325,847881
1001325,734157
1001341,659465
1001341,808483
1001341,19984
1001414,10989
1001414,1131379
1001414,54288
1001414,10635
100146,906329
100146,685743
100146,240350
1001532,721174
1001532,271544
1001532,679966
1001537,1069520
1001537,738472
1001553,257166
1001624,69859
1001624,1140434
1001624,1118769
1001627,889358
1001632,1003351
1001639,828980
1001639,902039
100169,1047932
1001691,150574
1001695,186911
1001695,725691
1001695,341040
1001699,408714
1001727,247511
1001727,386870
1001729,1033388
1001729,799389
1001729,447943
1001786,269923
1001883,418140
1001883,228454
1001889,375990
1001889,870556
1001889,155638
1001889,220774
1001889,534047
1001889,1047719
1001898,1084515
1001898,71367
1001960,280959
1001960,333841
1001960,613994
1001960,895647
1001960,834278
100197,189789
100197,726219
100197,38377
1002058,326397
1002058,637101
1002058,62877
1002058,1160011
1002059,640021
1002059,640463
1002059,758230
1002059,676231
1002059,465608
1002106,593657
1002115,197559
1002115,523222
1002135,781814
1002135,620653
1002152,383063
1002152,679644
100217,626059
100217,1132829
100217,760449
100217,785946
100217,81566
100217,29297
100217,465971
100217,390236
1002178,731447
1002194,1090482
1002194,763367
1002194,108424
1002194,488099
1002332,1062222
1002351,95913
1002351,284845
1002351,329695
1002351,774218
1002351,301932
1002351,302306
1002358,508584
1002358,680809
1002358,489337
1002358,1004454
1002358,544683
1002358,873498
1002358,1075168
1002358,858714
1002422,177195
1002422,1015169
1002422,534146
1002435,1081596
1002435,714349
1002435,423610
1002452,484471
1002452,256709
1002452,943208
1002452,644137
1002452,681375
1002469,225126
1002478,893833
1002478,362563
1002482,449246
1002482,394399
1002482,871368
1002482,148729
1002482,700511
1002482,890259
1002482,792590
1002537,736011
1002537,492448
1002537,605516
1002537,357059
1002537,286663
1002537,498051
1002540,1005262
1002584,30065
1002584,747765
1002584,479851
1002584,558844
1002584,137518
1002584,744852
1002584,1097173
1002584,352711
1002584,29530
1002584,813379
1002584,509892
1002584,599392
1002584,654177
1002584,819555
1002584,386870
1002584,452623
1002584,695091
1002584,637130
1002584,742053
1002584,70680
1002584,222620
1002584,1005176
1002584,290017
1002584,706108
1002590,1029404
100261,94811
100261,595951
100261,401408
100261,778958
100261,770589
100261,1158903
100261,70406
100261,479636
1002721,1109685
1002743,1062752
1002762,654014
1002776,797267
1002776,470119
1002797,559943
1002797,776550
1002797,168402
1002877,663415
1002947,450534
1002947,597466
1002947,556993
1002947,387190
1002956,254460
1002956,803946
1002956,1084381
1002956,934098
1002956,916544
1002956,962058
1002956,811022
1002956,693296
1002956,508085
1002956,1082108
1002956,1074193
1002956,912286
1002956,418755
100298,1066229
1003067,604828
1003067,1149283
1003067,232792
1003067,379353
1003067,879246
1003067,1142129
1003067,861618
1003067,926394
1003096,627406
1003120,750983
1003120,114090
1003164,238858
1003164,893577
1003164,65488
1003164,100261
1003164,518860
1003164,496379
1003164,596541
1003164,1158903
1003164,559792
1003164,770589
1003164,124348
1003164,379287
1003164,548847
1003164,365273
1003164,784066
1003164,606894
1003164,909773
1003164,634126
1003164,857293
1003164,134962
1003164,984127
1003164,21971
1003164,613861
1003164,203365
1003164,687477
1003174,863762
1003176,207552
1003192,567440
1003207,275021
1003207,764084
1003207,256532
1003237,135688
1003237,1095560
1003303,683124
1003303,709541
1003303,675170
1003303,559943
1003303,441520
1003331,195146
1003331,279651
1003331,10143
1003331,781773
1003331,158638
1003331,1019680
1003331,547869
1003331,614662
1003331,1165886
1003332,721174
1003332,373722
1003343,517758
1003351,1001632
1003351,938057
1003365,109815
1003365,1013424
1003365,762520
1003377,1052793
1003377,866330
1003431,616049
1003474,1121275
1003474,565159
1003475,762374
1003504,363784
1003504,80354
1003504,937884
1003504,709541
1003504,989739
1003504,529048
1003504,559943
1003504,675170
1003504,576215
1003504,110802
1003504,920082
1003504,830674
1003504,95870
1003504,50292
1003504,1099039
1003504,125660
1003504,624307
1003504,1067618
1003504,1125853
1003511,139748
1003511,1143293
1003511,524262
1003511,549728
1003511,1166415
1003511,1091878
1003511,846413
1003511,491391
1003514,1067153
1003514,938599
1003514,11200
1003539,627406
1003596,1100346
1003596,926410
1003596,280344
1003596,967612
100362,623539
1003735,176656
1003735,986812
1003752,866656
1003752,103032
1003752,766347
1003752,656944
1003770,213417
1003770,1004862
1003770,1131841
1003770,179594
100382,1066481
1003847,628933
1003847,1087815
1003859,399895
1003859,278465
1003859,1083782
1003859,498788
1003859,550832
1003859,440713
1003859,526871
1003859,772795
1003859,457880
1003859,131053
1003859,960388
1003859,947299
1003859,667934
1003859,1015700
1003859,705953
1003878,359727
1003954,240036
1003954,848909
1003954,604828
1003954,559943
1003954,734142
1003954,1006812
1003954,1152554
1003954,779220
1003954,253891
1003954,554382
1003954,1005518
1003954,201629
1003969,319060
1003969,823122
1004033,702509
1004152,932631
1004152,253885
1004152,762374
1004152,1028762
1004152,772795
1004152,977945
1004152,717625
1004152,727093
1004152,647671
1004152,1144719
1004187,777533
1004260,1156367
1004260,399141
1004291,774987
1004302,790082
1004302,481708
1004315,852854
1004330,389149
1004330,906978
1004388,133484
1004388,276212
1004388,524116
1004433,218833
1004433,611078
100444,1033173
100444,60478
1004446,416571
1004446,379567
1004446,745790
1004454,325677
1004454,489337
1004454,544683
1004454,107987
1004454,1027744
1004454,1075168
1004454,873498
1004454,858714
1004471,148419
1004477,1016571
1004477,76700
1004477,384846
1004477,304843
1004477,879246
1004477,647703
1004481,461768
1004481,57137
1004481,205015
1004481,711628
1004481,795709
1004517,488592
1004517,14094
1004556,300146
1004568,884911
100457,925384
1004584,656425
1004584,995215
1004606,613448
1004606,600199
1004606,554382
1004606,46457
1004606,469581
1004607,603993
1004607,801013
1004607,1149574
1004677,1103415
1004750,506803
1004750,228381
1004750,964806
1004750,815697
1004807,436144
1004807,333997
1004807,352295
1004807,672157
1004824,204249
1004824,893345
1004824,1084997
1004824,31093
1004824,90821
1004824,539505
1004824,102093
1004824,210973
1004824,781852
1004838,39093
1004871,792590
1004871,225791
1004871,390957
1004871,326141
1004950,510313
100510,919747
100510,774218
1005176,34512
1005176,701365
1005176,1089707
1005176,1002584
1005176,109927
1005176,722538
1005176,909959
1005176,609284
1005176,137518
1005176,168402
1005176,701768
1005176,84315
1005176,474702
1005176,943564
1005176,597848
1005176,640099
1005176,105441
1005176,186078
1005176,637130
1005176,1097173
1005176,452623
1005176,70680
1005176,230912
1005176,1062222
1005176,1073209
1005176,810141
1005176,204249
1005176,679966
1005176,586954
1005176,339672
1005176,130966
100519,265667
100519,485598
1005222,779057
1005253,422452
1005253,855030
1005253,494241
1005253,985764
1005253,605982
1005253,600955
1005262,749482
1005262,768987
1005262,221724
1005262,386605
1005262,268856
1005262,1094217
1005262,988899
1005262,372227
1005262,89972
1005262,792590
1005262,96727
1005262,243781
1005262,193419
1005262,657192
1005262,1073965
1005262,1066350
1005262,158946
1005262,1088876
1005262,165651
1005262,875887
1005262,843335
1005262,402010
1005262,1158181
1005262,333297
1005262,47185
1005262,989492
1005262,773031
1005262,119440
1005262,718634
1005262,229690
1005262,213663
1005262,102093
1005262,1125194
1005262,428196
1005262,1059392
1005262,554382
100532,144330
1005342,186911
1005342,167726
1005368,679966
1005368,721174
1005368,27781
1005380,334077
1005380,127945
1005380,1160671
1005380,586008
1005380,841523
1005398,741830
1005398,74771
1005398,386870
100544,441267
100544,450827
100544,984451
1005441,559943
1005472,526209
1005472,608689
100548,659322
100548,854236
100548,562781
100548,1130650
100548,1057806
1005494,369339
1005518,1003954
100557,792590
100559,295177
100561,11227
1005663,848909
1005710,42645
1005710,1057929
1005710,110301
1005710,237820
1005710,1107609
1005710,699706
1005710,830747
100572,46457
100572,564818
100572,41638
1005726,574392
1005765,169573
1005765,560188
1005802,1122475
1005802,1030899
1005802,32706
1005802,797552
1005802,574741
1005802,474218
1005802,130045
1005802,1089176
1005802,512801
1005802,1134524
1005886,458127
1005886,479150
1005886,770521
1005895,1022024
1005895,603935
1005895,90622
1005895,290017
1005895,1144617
