from,to
1000371,379452
1002947,597466
1002947,387190
1005176,452623
1005176,810141
1005262,102093
1005262,875887
1005262,193419
1011854,168402
1016571,101711
1016615,129921
1016615,1149283
101711,448646
101711,246370
101711,1016571
102093,193419
102093,1005262
1027050,865900
1027050,219568
1027552,290017
1029394,216047
1031816,832524
1032515,27781
1032515,168402
1032515,786492
1033173,734157
1033173,943849
1033173,1001325
1033388,630486
1033445,649969
1038526,243054
1038526,458637
1042250,88485
1042250,688459
1042250,517540
1044597,1011282
1044597,524374
1044597,554382
1049865,116926
1049865,441637
1052033,83795
1052392,187827
1052392,168402
1052392,114983
1056719,1149283
1060562,1082884
1060562,536449
1060562,60241
1062222,679966
1062222,604828
1062222,95099
1062222,862159
1062222,13751
1062222,420274
1062222,528177
1066078,1080006
1066078,1049865
1068040,10143
1068040,547869
1068325,591585
1070535,42645
1070535,787287
1070535,830747
1072492,722251
1072492,323611
1072492,802294
1072492,574167
1072492,290017
1073209,481708
1073209,959414
1073209,649184
1073209,385439
1073209,169407
1073209,168402
1073449,877141
1080006,1078241
1080383,441637
108095,1107554
108095,968336
1081225,1162063
1082884,418885
1082884,847352
1084167,386402
1085162,676873
1086395,179648
1086395,1136549
1086395,551499
1086395,554382
1086501,154507
1087424,671272
1087424,386402
1087959,792590
1089615,852485
1089707,1149283
1089707,517553
1089707,528177
1089707,130966
1089707,27781
1089707,35599
1090020,853945
1090020,997755
1090020,937639
1090020,247172
1093167,433139
1093995,600199
1093995,477777
1094217,229690
1094217,221724
1094217,681254
1094217,704801
1094217,875887
1094415,1039218
1094415,621108
1094415,28265
1096257,554382
1096257,843335
1096278,478977
1096278,907370
1099854,827580
1102943,643593
1102943,290017
1102969,674768
1104871,716403
110543,168402
110624,1074193
110624,1077960
110802,94816
1109721,729255
1109721,855817
1110304,975311
1112044,577982
1112553,596578
1113582,7203
1114375,469742
1114375,661803
1114375,394441
1114806,1161613
1114807,959625
1114807,292833
1115765,33728
1116866,27781
1117007,658057
1118769,843335
112292,1083950
112292,485598
112292,77920
1123714,386827
1123835,397918
1125088,810583
1125088,453102
1125853,1066078
1126640,792590
1135613,257890
1135613,251342
1140036,774218
1140036,83795
114090,1095560
114090,701174
1141295,786492
1141295,673723
