from,to
1000371,379452
1016571,101711
1016615,1149283
101711,290017
101711,448646
101711,246370
101711,604828
101711,517553
101711,1016571
101711,479851
101711,721174
1044597,524374
1049865,441637
1060562,1082884
1062222,13751
1062222,679966
1068040,1068040
1068040,10143
1073209,649184
1073209,481708
1073209,959414
1085470,221759
1087424,386402
1089615,852485
1089707,528177
1089707,27781
1093995,477777
1099854,827580
1112044,386402
1112044,577982
1141266,203284
1149283,1016615
1149283,651613
1161613,290017
1165523,693828
130966,517553
130966,693828
130966,1089707
162580,123588
162580,827574
168402,187827
187827,168402
193583,651613
193583,604828
204249,786492
204249,168402
216297,954460
216297,1016615
216297,1149283
216297,528177
216297,1165523
222972,243054
226250,300396
226250,257890
226250,81474
230202,725953
230202,517553
232345,693448
236864,168402
246370,101711
246370,879246
268914,168402
271544,679966
274989,433139
274989,370139
27781,721174
27781,1089707
290017,386827
290017,531413
290017,1161613
29460,389395
29460,339892
29460,360229
304843,384846
304843,852717
30767,833302
30767,492673
312393,628248
312408,1044597
329191,410843
33605,843335
33605,554382
33605,608311
33605,792590
33605,363039
33605,479851
33605,242804
338407,458637
339892,29460
339892,95099
339892,360229
360229,389395
360229,29460
360229,95099
36337,216223
370496,801013
370496,243054
380040,843335
384846,943967
384846,304843
384846,724090
386402,1112044
386402,168402
386402,577982
386827,73844
386870,290017
386870,386827
389395,82497
389395,879246
389395,535212
389395,927440
389395,29460
389395,360229
398186,776840
40968,1112044
414148,168402
414148,953579
421871,168402
421871,438519
42645,642205
42645,699706
42645,237820
448646,693828
456002,856897
477777,290017
477777,790516
479851,843335
479851,771352
479851,94816
479851,386827
497636,386402
497636,642205
517553,693828
517553,528177
528177,517553
528177,1089707
531413,290017
531413,386827
549182,843335
554382,341040
554382,843335
554382,195858
554382,386827
554382,771352
558834,30767
56973,772795
57447,95099
575444,804943
600199,549991
600199,972754
600199,790516
604828,651613
604828,943967
610095,386827
610095,801013
610095,609002
610095,94816
611921,860965
611921,558867
62524,976956
628248,312393
628248,849987
633963,849987
642205,792932
642205,878788
647703,82497
647703,879246
647703,339892
651613,1149283
651613,604828
676147,551499
676147,491391
676147,1062053
676147,458637
679966,271544
683124,554382
693828,448646
693828,517553
693828,1165523
695003,485598
695003,617496
695003,479851
721174,27781
721174,271544
724090,852717
724090,384846
725953,230202
747405,592674
762374,827580
76700,852717
76700,724090
76700,1016571
771352,479851
774218,302306
782337,566452
782337,1082884
785257,827580
790516,600199
790516,290017
801013,243054
803946,554382
803946,843335
812341,206310
81474,29460
81474,82497
818564,785586
82497,389395
82497,647703
82497,29460
842911,852485
843335,443641
843335,380040
843335,554382
843335,813549
843335,316702
843335,549182
849987,633963
849987,628248
852485,842911
852717,724090
852717,304843
855633,892536
856897,554382
868352,792590
878788,642205
878788,858767
879246,246370
879246,82497
879246,647703
894679,420036
903455,81474
903455,852485
909147,479851
920082,479851
943967,604828
943967,384846
94816,771352
94816,73844
94816,386827
95099,339892
976337,168402
976956,919136
