from,to
1000371,379452
1016571,101711
1016615,1149283
101711,290017
101711,448646
101711,246370
101711,604828
101711,517553
101711,1016571
101711,479851
101711,721174
1049865,441637
1060562,1082884
1062222,679966
1068040,1068040
1089707,528177
1089707,27781
1099854,827580
1112044,386402
1112044,577982
1141266,203284
1143861,81474
1149283,1016615
1149283,651613
1161613,290017
1165523,693828
13751,531413
168402,187827
193583,651613
193583,604828
204249,786492
204249,168402
216297,1165523
216297,1016615
230202,725953
230202,517553
236864,168402
246370,101711
246370,879246
271544,679966
27781,721174
27781,1089707
290017,386827
290017,531413
290017,1161613
29460,389395
29460,339892
29460,360229
304843,384846
304843,852717
312393,628248
329191,410843
33605,843335
33605,363039
33605,479851
33605,242804
33605,608311
339892,29460
339892,95099
339892,360229
370496,801013
370496,243054
384846,943967
384846,304843
384846,724090
386402,1112044
386402,168402
386402,577982
386827,73844
386870,290017
386870,386827
389395,82497
389395,879246
389395,535212
389395,927440
389395,29460
389395,360229
414148,168402
414148,953579
421871,168402
421871,438519
42645,642205
42645,699706
42645,237820
448646,693828
479851,771352
517553,693828
517553,528177
528177,517553
528177,1089707
531413,290017
531413,386827
549182,843335
554382,683124
554382,341040
554382,843335
554382,195858
554382,771352
56973,772795
57447,95099
604828,943967
604828,651613
628248,312393
628248,849987
633963,849987
642205,878788
642205,792932
647703,82497
647703,879246
647703,339892
651613,1149283
651613,604828
679966,271544
683124,554382
693828,448646
693828,517553
693828,1165523
721174,27781
721174,271544
724090,852717
724090,384846
762374,827580
76700,852717
76700,724090
76700,1016571
771352,479851
785257,827580
803946,554382
803946,843335
82497,389395
82497,647703
827580,749687
842911,852485
843335,380040
843335,813549
843335,316702
843335,549182
849987,633963
849987,628248
852485,842911
852717,724090
852717,304843
855633,892536
856897,554382
878788,642205
878788,858767
879246,647703
879246,246370
879246,82497
894679,420036
903455,81474
903455,852485
943967,604828
943967,384846
94816,771352
94816,73844
94816,386827
95099,339892
968678,168402
976337,168402
