from,to
1000371,379452
1002947,597466
1002947,387190
1005176,810141
1005262,875887
1005262,193419
1011854,168402
1016571,101711
1016615,1149283
101711,448646
101711,246370
101711,1016571
1027050,219568
1027552,290017
1032515,27781
1032515,168402
1032515,786492
1033388,630486
1042250,88485
1042250,688459
1044597,1011282
1044597,524374
1044597,554382
1049865,116926
1049865,441637
1052033,83795
1060562,1082884
1062222,679966
1062222,604828
1062222,95099
1062222,862159
1062222,420274
1062222,528177
1066078,1080006
1066078,1049865
1068040,10143
1068040,547869
1070535,42645
1072492,722251
1072492,802294
1072492,574167
1072492,290017
1073209,481708
1073209,959414
1073209,649184
1073209,385439
1073209,169407
1080006,1078241
108095,1107554
108095,968336
1082884,418885
1082884,847352
1084167,386402
1085470,221759
1086395,179648
1086395,1136549
1086395,551499
1086395,554382
1086501,154507
1087424,671272
1087424,386402
1089615,852485
1089707,1149283
1089707,517553
1089707,528177
1089707,130966
1089707,27781
1089707,35599
1093167,433139
1093995,600199
1093995,477777
1094217,229690
1094217,221724
1094217,681254
1094217,704801
1094217,875887
1096257,554382
1096257,843335
1096278,478977
1096278,907370
1099854,827580
1102943,290017
1102969,674768
110543,168402
110802,94816
1109721,729255
1109721,855817
1110304,975311
1112044,577982
1112553,596578
1114375,469742
1114375,661803
1114375,394441
1114806,1161613
1115765,33728
1116866,27781
112292,1083950
112292,485598
112292,77920
1123714,386827
1125853,1066078
1135613,257890
1135613,251342
1144557,290017
114579,15691
1149283,1016615
1149283,651613
1150054,879246
115647,13281
115647,95099
1161613,290017
1165523,693828
1166281,704801
1166281,1094217
1166281,642205
1166281,333297
116926,441637
116926,332140
1210,1062222
127945,1082884
129404,821960
130966,517553
130966,693828
130966,1089707
130966,27781
132544,87676
132544,236864
132544,592674
13281,115647
13281,95099
133249,81474
134788,959092
135593,42645
135593,421430
135593,527889
13751,642205
13751,731872
13751,945575
13751,27781
13751,531413
142837,1149283
145189,292833
145189,658057
145908,165675
15691,959092
158911,681254
158911,83795
162580,123588
162580,827574
165675,715109
16816,953265
168402,187827
169407,1073209
169407,484278
169407,959414
178288,257890
187827,168402
193583,651613
193583,604828
195858,730928
195858,627406
195858,798963
195858,250559
195858,602716
195858,973615
195858,328230
195858,385059
