name_q,name_u,views
%C3%98ystein_Djupedal,Øystein_Djupedal,1422.0
%C3%98yvind_Bjorvatn,Øyvind_Bjorvatn,474.0
%C3%98yvind_H%C3%A5brekke,Øyvind_Håbrekke,454.0
%C3%98yvind_Sl%C3%A5ke,Øyvind_Slåke,1015.0
%C3%9Eorsteinn_P%C3%A1lsson,Þorsteinn_Pálsson,1933.0
%C4%8Aensu_Tabone,Ċensu_Tabone,2425.0
%C4%8Cedomilj_Mijatovi%C4%87,Čedomilj_Mijatović,1285.0
%C4%8Cedomir_Anti%C4%87,Čedomir_Antić,24.0
%C4%8Cedomir_Jovanovi%C4%87,Čedomir_Jovanović,15437.0
%C4%90%E1%BB%97_M%C6%B0%E1%BB%9Di,Đỗ_Mười,4051.0
%C4%90ur%C4%91a_Adle%C5%A1i%C4%8D,Đurđa_Adlešič,932.0
%C4%90ur%C4%91e_Ninkovi%C4%87,Đurđe_Ninković,662.0
%C4%90uro_Pucar,Đuro_Pucar,160.0
%C4%B0smail_Cem,İsmail_Cem,2612.0
%C4%B0smet_%C4%B0n%C3%B6n%C3%BC,İsmet_İnönü,32579.0
%C4%B0smet_Sezgin,İsmet_Sezgin,34.0
%C4%BDubom%C3%ADr_Jahn%C3%A1tek,Ľubomír_Jahnátek,37.0
%C4%BDudov%C3%ADt_%C5%A0t%C3%BAr,Ľudovít_Štúr,7262.0
%C4%BDudov%C3%ADt_Kan%C3%ADk,Ľudovít_Kaník,9.0
%C5%8Ce_Taku,Ōe_Taku,1898.0
%C5%8Ckubo_Toshimichi,Ōkubo_Toshimichi,12492.0
%C5%8Ckuma_Shigenobu,Ōkuma_Shigenobu,6568.0
%C5%9E%C3%BCkr%C3%BC_Saraco%C4%9Flu,Şükrü_Saracoğlu,3803.0
%C5%9E%C3%BCkr%C3%BC_Sina_G%C3%BCrel,Şükrü_Sina_Gürel,1017.0
%C5%9Eemsettin_G%C3%BCnaltay,Şemsettin_Günaltay,1891.0
%C5%A0ime_%C4%90odan,Šime_Đodan,998.0
%C5%A0tefan_Osusk%C3%BD,Štefan_Osuský,518.0
%C5%A0tefan_Tiso,Štefan_Tiso,936.0
%C5%BDarko_Kora%C4%87,Žarko_Korać,3636.0
%C5%BDarko_Obradovi%C4%87,Žarko_Obradović,698.0
%C5%BDeljka_Antunovi%C4%87,Željka_Antunović,2429.0
%C5%BDeljko_%C5%A0turanovi%C4%87,Željko_Šturanović,3885.0
%C5%BDeljko_Kom%C5%A1i%C4%87,Željko_Komšić,14960.0
%C5%BDivko_Radi%C5%A1i%C4%87,Živko_Radišić,2564.0
A%C3%A9cio_Neves,Aécio_Neves,4065.0
A%C3%AFchatou_Mindaoudou,Aïchatou_Mindaoudou,1581.0
A.R._Jamali,A.R._Jamali,544.0
A._B._A._Ghani_Khan_Choudhury,A._B._A._Ghani_Khan_Choudhury,1383.0
A._C._Clemons,A._C._Clemons,855.0
A._D._Patel,A._D._Patel,1301.0
A._Edison_Stairs,A._Edison_Stairs,1045.0
A._F._M._Ahsanuddin_Chowdhury,A._F._M._Ahsanuddin_Chowdhury,1155.0
A._J._John,A._J._John,1484.0
A._J._McNamara,A._J._McNamara,1493.0
A._K._Antony,A._K._Antony,11932.0
A._K._Fazlul_Huq,A._K._Fazlul_Huq,8328.0
A._K._Gopalan,A._K._Gopalan,6282.0
A._L._Rowse,A._L._Rowse,9837.0
A._L._Zissu,A._L._Zissu,2.0
A._N._R._Robinson,A._N._R._Robinson,9338.0
A._P._J._Abdul_Kalam,A._P._J._Abdul_Kalam,9640.0
A._P._Tugwell,A._P._Tugwell,772.0
A._Philip_Randolph,A._Philip_Randolph,118067.0
A._Q._M._Badruddoza_Chowdhury,A._Q._M._Badruddoza_Chowdhury,2509.0
A._R._Antulay,A._R._Antulay,6680.0
A._R._Colquhoun,A._R._Colquhoun,786.0
A._Raja,A._Raja,4737.0
A._Subbarayalu_Reddiar,A._Subbarayalu_Reddiar,541.0
A._W._Norblad,A._W._Norblad,1881.0
A._Walter_Norblad,A._Walter_Norblad,1194.0
Aad_Kosto,Aad_Kosto,65.0
Aamir_Hayat_Khan_Rokhri,Aamir_Hayat_Khan_Rokhri,27.0
Aamir_J._Sheikh,Aamir_J._Sheikh,38.0
Aaron_A._Sargent,Aaron_A._Sargent,589.0
Aaron_Dixon,Aaron_Dixon,4304.0
Aaron_F._Perry,Aaron_F._Perry,1024.0
Aaron_Mike_Oquaye,Aaron_Mike_Oquaye,1276.0
Aaron_Pe%C3%B1a,Aaron_Peña,2006.0
Aaron_Peskin,Aaron_Peskin,8054.0
Aaron_Schock,Aaron_Schock,24050.0
Aaron_Soltz,Aaron_Soltz,2782.0
Aase_Bjerkholt,Aase_Bjerkholt,1002.0
Aase_Mol%C3%B8kken,Aase_Moløkken,22.0
Aasmund_Halvorsen_Vinje,Aasmund_Halvorsen_Vinje,464.0
Ab_Harrewijn,Ab_Harrewijn,184.0
Ab_Klink,Ab_Klink,3470.0
Abang_Haji_Openg,Abang_Haji_Openg,1821.0
Abang_Muhammad_Salahuddin,Abang_Muhammad_Salahuddin,4280.0
Abani_Mukherji,Abani_Mukherji,8247.0
Abass_Bundu,Abass_Bundu,2149.0
Abb%C3%A9_Pierre,Abbé_Pierre,26133.0
Abbas-Ali_Amid_Zanjani,Abbas-Ali_Amid_Zanjani,1022.0
Abbas_Amir-Entezam,Abbas_Amir-Entezam,2149.0
Abbas_El_Fassi,Abbas_El_Fassi,12546.0
Abbott_Lawrence,Abbott_Lawrence,3684.0
Abd%C3%BClhalik_Renda,Abdülhalik_Renda,89.0
Abd%C3%BCllatif_%C5%9Eener,Abdüllatif_Şener,2356.0
Abd_Dhiyab_al-Ajili,Abd_Dhiyab_al-Ajili,701.0
Abd_al-Nasir_al-Janabi,Abd_al-Nasir_al-Janabi,866.0
Abd_al-Rahman_Shahbandar,Abd_al-Rahman_Shahbandar,1506.0
Abd_ar-Razzaq_an-Naif,Abd_ar-Razzaq_an-Naif,3523.0
Abd_el-Krim,Abd_el-Krim,20432.0
Abdal%C3%A1_Bucaram,Abdalá_Bucaram,14482.0
Abdal%C3%A1_Bucaram%2C_Jr.,"Abdalá_Bucaram,_Jr.",372.0
Abdallah_Isaaq_Deerow,Abdallah_Isaaq_Deerow,1121.0
Abdallah_Khalil,Abdallah_Khalil,1084.0
Abdel_Aziz_al-Rantisi,Abdel_Aziz_al-Rantisi,20.0
Abdel_Hakim_Amer,Abdel_Hakim_Amer,12070.0
Abdel_Khaliq_Mahjub,Abdel_Khaliq_Mahjub,1161.0
