file,size
pagecounts-20140101-000000.gz,82.0
pagecounts-20140101-010000.gz,83.0
pagecounts-20140101-020000.gz,79.0
pagecounts-20140101-030001.gz,79.0
pagecounts-20140101-040008.gz,79.0
pagecounts-20140101-050001.gz,77.0
pagecounts-20140101-060000.gz,75.0
pagecounts-20140101-070000.gz,77.0
pagecounts-20140101-080008.gz,77.0
pagecounts-20140101-090000.gz,84.0
pagecounts-20140101-100008.gz,88.0
pagecounts-20140101-110011.gz,92.0
pagecounts-20140101-120000.gz,95.0
pagecounts-20140101-130000.gz,93.0
pagecounts-20140101-140002.gz,94.0
pagecounts-20140101-150000.gz,97.0
pagecounts-20140101-160000.gz,96.0
pagecounts-20140101-170000.gz,96.0
pagecounts-20140101-180004.gz,98.0
pagecounts-20140101-190013.gz,93.0
pagecounts-20140101-200001.gz,94.0
pagecounts-20140101-210012.gz,92.0
pagecounts-20140101-220012.gz,88.0
pagecounts-20140101-230000.gz,88.0
pagecounts-20140102-000000.gz,86.0
pagecounts-20140102-010000.gz,83.0
pagecounts-20140102-020011.gz,82.0
pagecounts-20140102-030000.gz,82.0
pagecounts-20140102-040003.gz,82.0
pagecounts-20140102-050011.gz,78.0
pagecounts-20140102-060008.gz,78.0
pagecounts-20140102-070005.gz,64.0
pagecounts-20140102-080000.gz,70.0
pagecounts-20140102-090000.gz,96.0
pagecounts-20140102-100001.gz,103.0
pagecounts-20140102-110000.gz,106.0
pagecounts-20140102-120000.gz,106.0
pagecounts-20140102-130015.gz,105.0
pagecounts-20140102-140004.gz,106.0
pagecounts-20140102-150001.gz,105.0
pagecounts-20140102-160014.gz,103.0
pagecounts-20140102-170015.gz,103.0
pagecounts-20140102-180000.gz,101.0
pagecounts-20140102-190000.gz,92.0
pagecounts-20140102-200000.gz,92.0
pagecounts-20140102-210014.gz,94.0
pagecounts-20140102-220000.gz,93.0
pagecounts-20140102-230013.gz,94.0
pagecounts-20140103-000000.gz,91.0
pagecounts-20140103-010000.gz,92.0
pagecounts-20140103-020000.gz,85.0
pagecounts-20140103-030010.gz,82.0
pagecounts-20140103-040000.gz,81.0
pagecounts-20140103-050001.gz,81.0
pagecounts-20140103-060000.gz,78.0
pagecounts-20140103-070000.gz,77.0
pagecounts-20140103-080010.gz,86.0
pagecounts-20140103-090000.gz,93.0
pagecounts-20140103-100001.gz,95.0
pagecounts-20140103-110000.gz,99.0
pagecounts-20140103-120000.gz,97.0
pagecounts-20140103-130000.gz,99.0
pagecounts-20140103-140001.gz,99.0
pagecounts-20140103-150000.gz,99.0
pagecounts-20140103-160000.gz,102.0
pagecounts-20140103-170000.gz,101.0
pagecounts-20140103-180000.gz,101.0
pagecounts-20140103-190001.gz,100.0
pagecounts-20140103-200013.gz,97.0
pagecounts-20140103-210000.gz,94.0
pagecounts-20140103-220006.gz,93.0
pagecounts-20140103-230000.gz,94.0
pagecounts-20140104-000014.gz,91.0
pagecounts-20140104-010000.gz,86.0
pagecounts-20140104-020000.gz,86.0
