file,size
pagecounts-20100107-150000.gz,63.0
pagecounts-20100107-160000.gz,64.0
pagecounts-20100107-170000.gz,64.0
pagecounts-20100107-180000.gz,65.0
pagecounts-20100107-190000.gz,65.0
pagecounts-20100107-200001.gz,65.0
pagecounts-20100107-210000.gz,65.0
pagecounts-20100107-220000.gz,65.0
pagecounts-20100107-230000.gz,66.0
pagecounts-20100108-000000.gz,63.0
pagecounts-20100108-010000.gz,64.0
pagecounts-20100108-020000.gz,67.0
pagecounts-20100108-030000.gz,66.0
pagecounts-20100108-040000.gz,63.0
pagecounts-20100108-050000.gz,62.0
pagecounts-20100108-060001.gz,62.0
pagecounts-20100108-070000.gz,64.0
pagecounts-20100108-080000.gz,65.0
pagecounts-20100108-090000.gz,68.0
pagecounts-20100108-100000.gz,71.0
pagecounts-20100108-110000.gz,72.0
pagecounts-20100108-120000.gz,73.0
pagecounts-20100108-130000.gz,66.0
pagecounts-20100108-140000.gz,66.0
pagecounts-20100108-150000.gz,63.0
pagecounts-20100108-160001.gz,63.0
pagecounts-20100108-170000.gz,64.0
pagecounts-20100108-180000.gz,64.0
pagecounts-20100108-190000.gz,63.0
pagecounts-20100108-200000.gz,61.0
pagecounts-20100108-210000.gz,62.0
pagecounts-20100108-220000.gz,63.0
pagecounts-20100108-230000.gz,64.0
pagecounts-20100109-000000.gz,62.0
pagecounts-20100109-010000.gz,64.0
pagecounts-20100109-020001.gz,61.0
pagecounts-20100109-030000.gz,55.0
pagecounts-20100109-040000.gz,59.0
pagecounts-20100109-050000.gz,60.0
pagecounts-20100109-060000.gz,60.0
pagecounts-20100109-070000.gz,61.0
pagecounts-20100109-080000.gz,63.0
pagecounts-20100109-090000.gz,65.0
pagecounts-20100109-100000.gz,68.0
pagecounts-20100109-110000.gz,71.0
pagecounts-20100109-120000.gz,72.0
pagecounts-20100109-130001.gz,67.0
pagecounts-20100109-140000.gz,67.0
pagecounts-20100109-150000.gz,66.0
pagecounts-20100109-160000.gz,65.0
pagecounts-20100109-170000.gz,65.0
pagecounts-20100109-180000.gz,65.0
pagecounts-20100109-190000.gz,65.0
pagecounts-20100109-200000.gz,65.0
pagecounts-20100109-210000.gz,65.0
pagecounts-20100109-220000.gz,64.0
pagecounts-20100109-230000.gz,64.0
pagecounts-20100110-000001.gz,63.0
pagecounts-20100110-010000.gz,64.0
pagecounts-20100110-020000.gz,63.0
pagecounts-20100110-030000.gz,61.0
pagecounts-20100110-040000.gz,60.0
pagecounts-20100110-050000.gz,59.0
pagecounts-20100110-060000.gz,58.0
