file,size
pagecounts-20090101-000000.gz,
pagecounts-20090101-010000.gz,48.0
pagecounts-20090101-020001.gz,48.0
pagecounts-20090101-030000.gz,47.0
pagecounts-20090101-040000.gz,47.0
pagecounts-20090101-050000.gz,46.0
pagecounts-20090101-060000.gz,44.0
pagecounts-20090101-070000.gz,43.0
pagecounts-20090101-080001.gz,44.0
pagecounts-20090101-090000.gz,44.0
pagecounts-20090101-100000.gz,47.0
pagecounts-20090101-110000.gz,49.0
pagecounts-20090101-120000.gz,52.0
pagecounts-20090101-130000.gz,50.0
pagecounts-20090101-140001.gz,54.0
pagecounts-20090101-150000.gz,55.0
pagecounts-20090101-160000.gz,56.0
pagecounts-20090101-170000.gz,57.0
pagecounts-20090101-180000.gz,58.0
pagecounts-20090101-190000.gz,58.0
pagecounts-20090101-200001.gz,57.0
pagecounts-20090101-210000.gz,57.0
pagecounts-20090101-220000.gz,56.0
pagecounts-20090101-230000.gz,55.0
pagecounts-20090102-000000.gz,53.0
pagecounts-20090102-010000.gz,54.0
pagecounts-20090102-020001.gz,54.0
pagecounts-20090102-030000.gz,52.0
pagecounts-20090102-040000.gz,52.0
pagecounts-20090102-050000.gz,51.0
pagecounts-20090102-060000.gz,52.0
pagecounts-20090102-070000.gz,51.0
pagecounts-20090102-080001.gz,53.0
pagecounts-20090102-090000.gz,54.0
pagecounts-20090102-100000.gz,56.0
pagecounts-20090102-110000.gz,60.0
pagecounts-20090102-120000.gz,61.0
pagecounts-20090102-130000.gz,57.0
pagecounts-20090102-140001.gz,57.0
pagecounts-20090102-150000.gz,59.0
pagecounts-20090102-160000.gz,59.0
pagecounts-20090102-170000.gz,59.0
pagecounts-20090102-180000.gz,59.0
pagecounts-20090102-190000.gz,59.0
pagecounts-20090102-200001.gz,57.0
pagecounts-20090102-210000.gz,58.0
pagecounts-20090102-220000.gz,55.0
pagecounts-20090102-230000.gz,52.0
pagecounts-20090103-000000.gz,52.0
pagecounts-20090103-010000.gz,56.0
pagecounts-20090103-020001.gz,54.0
pagecounts-20090103-030000.gz,54.0
pagecounts-20090103-040000.gz,53.0
pagecounts-20090103-050000.gz,54.0
pagecounts-20090103-060000.gz,52.0
pagecounts-20090103-070000.gz,52.0
pagecounts-20090103-080001.gz,53.0
pagecounts-20090103-090000.gz,54.0
pagecounts-20090103-100000.gz,57.0
pagecounts-20090103-110000.gz,59.0
pagecounts-20090103-120000.gz,61.0
pagecounts-20090103-130000.gz,59.0
pagecounts-20090103-140001.gz,61.0
pagecounts-20090103-150000.gz,62.0
pagecounts-20090103-160000.gz,64.0
pagecounts-20090103-170000.gz,65.0
pagecounts-20090103-180000.gz,65.0
pagecounts-20090103-190000.gz,64.0
pagecounts-20090103-200001.gz,63.0
