file,size
pagecounts-20080101-000000.gz,19.0
pagecounts-20080101-010000.gz,19.0
pagecounts-20080101-020000.gz,18.0
pagecounts-20080101-030001.gz,18.0
pagecounts-20080101-040000.gz,19.0
pagecounts-20080101-050000.gz,16.0
pagecounts-20080101-060000.gz,17.0
pagecounts-20080101-070000.gz,18.0
pagecounts-20080101-080001.gz,18.0
pagecounts-20080101-090000.gz,16.0
pagecounts-20080101-100000.gz,18.0
pagecounts-20080101-110000.gz,20.0
pagecounts-20080101-120000.gz,21.0
pagecounts-20080101-130000.gz,22.0
pagecounts-20080101-140000.gz,23.0
pagecounts-20080101-150001.gz,24.0
pagecounts-20080101-160000.gz,25.0
pagecounts-20080101-170000.gz,26.0
pagecounts-20080101-180000.gz,27.0
pagecounts-20080101-190000.gz,28.0
pagecounts-20080101-200000.gz,27.0
pagecounts-20080101-210001.gz,26.0
pagecounts-20080101-220000.gz,27.0
pagecounts-20080101-230000.gz,26.0
pagecounts-20080102-000000.gz,25.0
pagecounts-20080102-010000.gz,24.0
pagecounts-20080102-020000.gz,23.0
pagecounts-20080102-030001.gz,22.0
pagecounts-20080102-040000.gz,23.0
pagecounts-20080102-050000.gz,19.0
pagecounts-20080102-060000.gz,19.0
pagecounts-20080102-070000.gz,20.0
pagecounts-20080102-080000.gz,20.0
pagecounts-20080102-090001.gz,21.0
pagecounts-20080102-100000.gz,22.0
pagecounts-20080102-110000.gz,25.0
pagecounts-20080102-120000.gz,25.0
pagecounts-20080102-130000.gz,26.0
pagecounts-20080102-140000.gz,27.0
pagecounts-20080102-150001.gz,29.0
pagecounts-20080102-160000.gz,30.0
pagecounts-20080102-170000.gz,30.0
pagecounts-20080102-180000.gz,30.0
pagecounts-20080102-190000.gz,29.0
pagecounts-20080102-200000.gz,29.0
pagecounts-20080102-210000.gz,28.0
pagecounts-20080102-220001.gz,28.0
pagecounts-20080102-230000.gz,27.0
pagecounts-20080103-000000.gz,25.0
pagecounts-20080103-010000.gz,25.0
pagecounts-20080103-020000.gz,23.0
pagecounts-20080103-030000.gz,23.0
pagecounts-20080103-040001.gz,21.0
pagecounts-20080103-050000.gz,20.0
pagecounts-20080103-060000.gz,19.0
pagecounts-20080103-070000.gz,21.0
pagecounts-20080103-080000.gz,21.0
pagecounts-20080103-090000.gz,22.0
pagecounts-20080103-100001.gz,24.0
pagecounts-20080103-110000.gz,26.0
pagecounts-20080103-120000.gz,27.0
pagecounts-20080103-130000.gz,27.0
pagecounts-20080103-140000.gz,29.0
pagecounts-20080103-150000.gz,29.0
pagecounts-20080103-160001.gz,30.0
pagecounts-20080103-170000.gz,30.0
pagecounts-20080103-180000.gz,29.0
pagecounts-20080103-190000.gz,29.0
pagecounts-20080103-200000.gz,28.0
pagecounts-20080103-210000.gz,28.0
pagecounts-20080103-220001.gz,27.0
pagecounts-20080103-230000.gz,26.0
pagecounts-20080104-000000.gz,25.0
pagecounts-20080104-010000.gz,25.0
pagecounts-20080104-020000.gz,22.0
pagecounts-20080104-030000.gz,21.0
pagecounts-20080104-040001.gz,22.0
pagecounts-20080104-050000.gz,20.0
pagecounts-20080104-060000.gz,19.0
pagecounts-20080104-070000.gz,20.0
pagecounts-20080104-080000.gz,21.0
pagecounts-20080104-090000.gz,22.0
pagecounts-20080104-100001.gz,25.0
pagecounts-20080104-110000.gz,26.0
pagecounts-20080104-120000.gz,26.0
pagecounts-20080104-130000.gz,27.0
pagecounts-20080104-140000.gz,28.0
pagecounts-20080104-150000.gz,29.0
pagecounts-20080104-160001.gz,29.0
pagecounts-20080104-170000.gz,29.0
pagecounts-20080104-180000.gz,28.0
pagecounts-20080104-190000.gz,28.0
pagecounts-20080104-200000.gz,27.0
pagecounts-20080104-210000.gz,27.0
pagecounts-20080104-220000.gz,26.0
pagecounts-20080104-230001.gz,25.0
pagecounts-20080105-000000.gz,24.0
pagecounts-20080105-010000.gz,25.0
pagecounts-20080105-020000.gz,22.0
pagecounts-20080105-030000.gz,21.0
pagecounts-20080105-040001.gz,20.0
pagecounts-20080105-050000.gz,20.0
pagecounts-20080105-060000.gz,19.0
pagecounts-20080105-070000.gz,20.0
pagecounts-20080105-080000.gz,19.0
pagecounts-20080105-090000.gz,20.0
pagecounts-20080105-100000.gz,22.0
pagecounts-20080105-110001.gz,24.0
pagecounts-20080105-120000.gz,25.0
pagecounts-20080105-130000.gz,26.0
pagecounts-20080105-140000.gz,28.0
pagecounts-20080105-150000.gz,28.0
pagecounts-20080105-160000.gz,29.0
pagecounts-20080105-170001.gz,29.0
pagecounts-20080105-180000.gz,29.0
pagecounts-20080105-190000.gz,28.0
pagecounts-20080105-200000.gz,27.0
pagecounts-20080105-210000.gz,28.0
pagecounts-20080105-220000.gz,27.0
pagecounts-20080105-230001.gz,26.0
pagecounts-20080106-000000.gz,25.0
pagecounts-20080106-010000.gz,24.0
pagecounts-20080106-020000.gz,23.0
pagecounts-20080106-030000.gz,23.0
pagecounts-20080106-040000.gz,21.0
pagecounts-20080106-050001.gz,20.0
pagecounts-20080106-060000.gz,21.0
pagecounts-20080106-070000.gz,20.0
pagecounts-20080106-080000.gz,20.0
pagecounts-20080106-090000.gz,22.0
pagecounts-20080106-100000.gz,23.0
pagecounts-20080106-110001.gz,25.0
pagecounts-20080106-120000.gz,26.0
pagecounts-20080106-130000.gz,27.0
pagecounts-20080106-140000.gz,28.0
pagecounts-20080106-150000.gz,29.0
pagecounts-20080106-160000.gz,29.0
pagecounts-20080106-170001.gz,31.0
pagecounts-20080106-180000.gz,30.0
pagecounts-20080106-190000.gz,29.0
pagecounts-20080106-200000.gz,29.0
pagecounts-20080106-210000.gz,28.0
pagecounts-20080106-220000.gz,28.0
pagecounts-20080106-230001.gz,26.0
pagecounts-20080107-000000.gz,25.0
pagecounts-20080107-010000.gz,23.0
pagecounts-20080107-020000.gz,23.0
pagecounts-20080107-030000.gz,22.0
pagecounts-20080107-040000.gz,22.0
pagecounts-20080107-050001.gz,21.0
pagecounts-20080107-060000.gz,21.0
pagecounts-20080107-070000.gz,21.0
pagecounts-20080107-080000.gz,23.0
pagecounts-20080107-090000.gz,25.0
pagecounts-20080107-100000.gz,25.0
pagecounts-20080107-110001.gz,26.0
pagecounts-20080107-120000.gz,28.0
pagecounts-20080107-130000.gz,29.0
pagecounts-20080107-140000.gz,30.0
pagecounts-20080107-150000.gz,31.0
pagecounts-20080107-160000.gz,32.0
pagecounts-20080107-170001.gz,32.0
pagecounts-20080107-180000.gz,30.0
pagecounts-20080107-190000.gz,29.0
pagecounts-20080107-200000.gz,29.0
pagecounts-20080107-210000.gz,28.0
pagecounts-20080107-220000.gz,28.0
pagecounts-20080107-230001.gz,26.0
