file,size
pagecounts-20130101-000000.gz,77.0
pagecounts-20130101-010000.gz,76.0
pagecounts-20130101-020001.gz,75.0
pagecounts-20130101-030000.gz,73.0
pagecounts-20130101-040000.gz,72.0
pagecounts-20130101-050000.gz,72.0
pagecounts-20130101-060000.gz,71.0
pagecounts-20130101-070000.gz,73.0
pagecounts-20130101-080000.gz,75.0
pagecounts-20130101-090000.gz,79.0
pagecounts-20130101-100000.gz,84.0
pagecounts-20130101-110000.gz,85.0
pagecounts-20130101-120000.gz,89.0
pagecounts-20130101-130000.gz,90.0
pagecounts-20130101-140001.gz,93.0
pagecounts-20130101-150000.gz,95.0
pagecounts-20130101-160000.gz,99.0
pagecounts-20130101-170000.gz,98.0
pagecounts-20130101-180000.gz,101.0
pagecounts-20130101-190000.gz,102.0
pagecounts-20130101-200000.gz,101.0
pagecounts-20130101-210000.gz,99.0
pagecounts-20130101-220000.gz,93.0
pagecounts-20130101-230000.gz,92.0
pagecounts-20130102-000000.gz,88.0
pagecounts-20130102-010000.gz,86.0
pagecounts-20130102-020000.gz,83.0
pagecounts-20130102-030001.gz,83.0
pagecounts-20130102-040000.gz,81.0
pagecounts-20130102-050000.gz,80.0
pagecounts-20130102-060000.gz,81.0
pagecounts-20130102-070000.gz,83.0
pagecounts-20130102-080000.gz,85.0
pagecounts-20130102-090000.gz,86.0
pagecounts-20130102-100000.gz,93.0
pagecounts-20130102-110000.gz,96.0
pagecounts-20130102-120000.gz,98.0
pagecounts-20130102-130000.gz,100.0
pagecounts-20130102-140001.gz,103.0
pagecounts-20130102-150000.gz,105.0
pagecounts-20130102-160000.gz,108.0
pagecounts-20130102-170000.gz,109.0
pagecounts-20130102-180000.gz,109.0
pagecounts-20130102-190000.gz,107.0
pagecounts-20130102-200000.gz,100.0
pagecounts-20130102-210000.gz,98.0
pagecounts-20130102-220000.gz,97.0
pagecounts-20130102-230000.gz,96.0
pagecounts-20130103-000000.gz,90.0
pagecounts-20130103-010000.gz,84.0
pagecounts-20130103-020001.gz,83.0
pagecounts-20130103-030000.gz,80.0
pagecounts-20130103-040000.gz,80.0
pagecounts-20130103-050000.gz,82.0
pagecounts-20130103-060000.gz,85.0
pagecounts-20130103-070000.gz,80.0
pagecounts-20130103-080000.gz,85.0
pagecounts-20130103-090000.gz,91.0
pagecounts-20130103-100000.gz,97.0
pagecounts-20130103-110000.gz,98.0
pagecounts-20130103-120000.gz,100.0
pagecounts-20130103-130000.gz,102.0
pagecounts-20130103-140000.gz,106.0
pagecounts-20130103-150001.gz,107.0
pagecounts-20130103-160000.gz,109.0
pagecounts-20130103-170000.gz,109.0
pagecounts-20130103-180000.gz,103.0
pagecounts-20130103-190000.gz,101.0
pagecounts-20130103-200000.gz,96.0
pagecounts-20130103-210000.gz,96.0
pagecounts-20130103-220000.gz,94.0
pagecounts-20130103-230000.gz,95.0
pagecounts-20130104-000000.gz,87.0
pagecounts-20130104-010000.gz,80.0
pagecounts-20130104-020000.gz,78.0
pagecounts-20130104-030001.gz,76.0
pagecounts-20130104-040000.gz,72.0
pagecounts-20130104-050000.gz,71.0
pagecounts-20130104-060000.gz,72.0
pagecounts-20130104-070000.gz,73.0
pagecounts-20130104-080000.gz,79.0
pagecounts-20130104-090000.gz,85.0
pagecounts-20130104-100000.gz,90.0
pagecounts-20130104-110000.gz,94.0
pagecounts-20130104-120000.gz,95.0
pagecounts-20130104-130000.gz,98.0
pagecounts-20130104-140000.gz,99.0
pagecounts-20130104-150000.gz,101.0
pagecounts-20130104-160001.gz,102.0
pagecounts-20130104-170000.gz,106.0
pagecounts-20130104-180000.gz,101.0
pagecounts-20130104-190000.gz,101.0
pagecounts-20130104-200000.gz,101.0
pagecounts-20130104-210000.gz,100.0
pagecounts-20130104-220000.gz,99.0
pagecounts-20130104-230000.gz,95.0
pagecounts-20130105-000000.gz,89.0
pagecounts-20130105-010000.gz,88.0
pagecounts-20130105-020000.gz,87.0
pagecounts-20130105-030000.gz,83.0
pagecounts-20130105-040000.gz,84.0
pagecounts-20130105-050001.gz,78.0
pagecounts-20130105-060000.gz,75.0
pagecounts-20130105-070000.gz,75.0
pagecounts-20130105-080000.gz,76.0
pagecounts-20130105-090000.gz,80.0
pagecounts-20130105-100000.gz,85.0
pagecounts-20130105-110000.gz,90.0
pagecounts-20130105-120000.gz,92.0
pagecounts-20130105-130000.gz,95.0
pagecounts-20130105-140000.gz,99.0
pagecounts-20130105-150000.gz,103.0
pagecounts-20130105-160000.gz,99.0
pagecounts-20130105-170001.gz,101.0
pagecounts-20130105-180000.gz,100.0
pagecounts-20130105-190000.gz,99.0
pagecounts-20130105-200000.gz,97.0
pagecounts-20130105-210000.gz,97.0
pagecounts-20130105-220000.gz,95.0
pagecounts-20130105-230000.gz,96.0
pagecounts-20130106-000000.gz,91.0
pagecounts-20130106-010000.gz,84.0
pagecounts-20130106-020000.gz,85.0
pagecounts-20130106-030000.gz,77.0
pagecounts-20130106-040000.gz,77.0
pagecounts-20130106-050001.gz,75.0
pagecounts-20130106-060000.gz,76.0
pagecounts-20130106-070000.gz,79.0
pagecounts-20130106-080000.gz,82.0
pagecounts-20130106-090000.gz,87.0
pagecounts-20130106-100000.gz,92.0
pagecounts-20130106-110000.gz,94.0
pagecounts-20130106-120000.gz,98.0
pagecounts-20130106-130000.gz,103.0
pagecounts-20130106-140000.gz,104.0
pagecounts-20130106-150000.gz,105.0
pagecounts-20130106-160000.gz,107.0
pagecounts-20130106-170001.gz,108.0
pagecounts-20130106-180000.gz,108.0
pagecounts-20130106-190000.gz,107.0
pagecounts-20130106-200000.gz,106.0
pagecounts-20130106-210000.gz,105.0
pagecounts-20130106-220000.gz,103.0
pagecounts-20130106-230000.gz,97.0
pagecounts-20130107-000000.gz,90.0
pagecounts-20130107-010000.gz,95.0
pagecounts-20130107-020000.gz,87.0
pagecounts-20130107-030000.gz,81.0
pagecounts-20130107-040000.gz,79.0
pagecounts-20130107-050001.gz,79.0
pagecounts-20130107-060000.gz,78.0
pagecounts-20130107-070000.gz,83.0
pagecounts-20130107-080000.gz,88.0
pagecounts-20130107-090000.gz,92.0
pagecounts-20130107-100000.gz,97.0
pagecounts-20130107-110000.gz,100.0
pagecounts-20130107-120000.gz,106.0
pagecounts-20130107-130000.gz,101.0
pagecounts-20130107-140000.gz,103.0
pagecounts-20130107-150000.gz,104.0
pagecounts-20130107-160000.gz,106.0
pagecounts-20130107-170001.gz,105.0
pagecounts-20130107-180000.gz,105.0
pagecounts-20130107-190000.gz,107.0
pagecounts-20130107-200000.gz,105.0
pagecounts-20130107-210000.gz,96.0
pagecounts-20130107-220000.gz,101.0
pagecounts-20130107-230000.gz,97.0
pagecounts-20130108-000000.gz,89.0
pagecounts-20130108-010000.gz,90.0
pagecounts-20130108-020000.gz,86.0
pagecounts-20130108-030000.gz,85.0
pagecounts-20130108-040000.gz,83.0
pagecounts-20130108-050001.gz,83.0
pagecounts-20130108-060000.gz,84.0
pagecounts-20130108-070000.gz,85.0
pagecounts-20130108-080000.gz,85.0
pagecounts-20130108-090000.gz,89.0
pagecounts-20130108-100000.gz,97.0
pagecounts-20130108-110000.gz,96.0
pagecounts-20130108-120000.gz,97.0
pagecounts-20130108-130000.gz,100.0
pagecounts-20130108-140000.gz,103.0
pagecounts-20130108-150000.gz,106.0
pagecounts-20130108-160000.gz,108.0
pagecounts-20130108-170001.gz,109.0
pagecounts-20130108-180000.gz,107.0
pagecounts-20130108-190000.gz,106.0
pagecounts-20130108-200000.gz,103.0
pagecounts-20130108-210000.gz,105.0
pagecounts-20130108-220000.gz,98.0
pagecounts-20130108-230000.gz,95.0
pagecounts-20130109-000000.gz,88.0
pagecounts-20130109-010000.gz,87.0
pagecounts-20130109-020000.gz,81.0
pagecounts-20130109-030000.gz,88.0
pagecounts-20130109-040000.gz,77.0
pagecounts-20130109-050001.gz,79.0
pagecounts-20130109-060000.gz,80.0
pagecounts-20130109-070000.gz,82.0
pagecounts-20130109-080000.gz,90.0
pagecounts-20130109-090000.gz,91.0
pagecounts-20130109-100000.gz,93.0
pagecounts-20130109-110000.gz,96.0
pagecounts-20130109-120000.gz,100.0
pagecounts-20130109-130000.gz,104.0
pagecounts-20130109-140000.gz,108.0
pagecounts-20130109-150000.gz,106.0
pagecounts-20130109-160000.gz,107.0
pagecounts-20130109-170000.gz,106.0
pagecounts-20130109-180001.gz,105.0
pagecounts-20130109-190000.gz,106.0
pagecounts-20130109-200000.gz,102.0
pagecounts-20130109-210000.gz,101.0
pagecounts-20130109-220000.gz,103.0
pagecounts-20130109-230000.gz,101.0
pagecounts-20130110-000000.gz,90.0
pagecounts-20130110-010000.gz,85.0
pagecounts-20130110-020000.gz,83.0
pagecounts-20130110-030000.gz,83.0
pagecounts-20130110-040000.gz,82.0
pagecounts-20130110-050000.gz,82.0
pagecounts-20130110-060001.gz,85.0
pagecounts-20130110-070000.gz,86.0
pagecounts-20130110-080000.gz,87.0
pagecounts-20130110-090000.gz,91.0
pagecounts-20130110-100000.gz,95.0
pagecounts-20130110-110000.gz,98.0
pagecounts-20130110-120000.gz,101.0
pagecounts-20130110-130000.gz,103.0
pagecounts-20130110-140000.gz,113.0
pagecounts-20130110-150000.gz,109.0
pagecounts-20130110-160000.gz,109.0
pagecounts-20130110-170000.gz,112.0
pagecounts-20130110-180001.gz,110.0
pagecounts-20130110-190000.gz,106.0
pagecounts-20130110-200000.gz,104.0
pagecounts-20130110-210000.gz,100.0
pagecounts-20130110-220000.gz,98.0
pagecounts-20130110-230000.gz,96.0
pagecounts-20130111-000000.gz,87.0
pagecounts-20130111-010000.gz,83.0
pagecounts-20130111-020000.gz,82.0
pagecounts-20130111-030000.gz,76.0
pagecounts-20130111-040000.gz,80.0
pagecounts-20130111-050000.gz,80.0
pagecounts-20130111-060000.gz,77.0
pagecounts-20130111-070000.gz,81.0
pagecounts-20130111-080001.gz,88.0
pagecounts-20130111-090000.gz,94.0
pagecounts-20130111-100000.gz,98.0
pagecounts-20130111-110000.gz,98.0
pagecounts-20130111-120000.gz,100.0
pagecounts-20130111-130000.gz,100.0
pagecounts-20130111-140000.gz,103.0
pagecounts-20130111-150000.gz,109.0
pagecounts-20130111-160000.gz,110.0
pagecounts-20130111-170000.gz,105.0
pagecounts-20130111-180000.gz,103.0
pagecounts-20130111-190000.gz,102.0
pagecounts-20130111-200000.gz,97.0
pagecounts-20130111-210001.gz,100.0
pagecounts-20130111-220000.gz,98.0
pagecounts-20130111-230000.gz,99.0
pagecounts-20130112-000000.gz,93.0
pagecounts-20130112-010000.gz,87.0
pagecounts-20130112-020000.gz,86.0
pagecounts-20130112-030000.gz,85.0
pagecounts-20130112-040000.gz,76.0
pagecounts-20130112-050000.gz,77.0
pagecounts-20130112-060000.gz,79.0
