ID,url_name
428697,George_Jones_(Conservative_politician)
428727,Zvi_Zilker
428736,Lazarus_Joseph
428748,William_Porcher_Miles
428760,Geraldine_Ramírez_Zollino
428782,Christine_Canavan
428799,Pak_Nam-gi
42782,Volk_Gebhardt
428805,Simon_Lesirma
428826,Elaine_Schwartz
428839,A._K._Gopalan
428886,Hermann_Henselmann
428889,Chris_Stewart_(politician)
428911,Jeanette_Olsen
428915,Hans_Ritter_von_Lex
428919,Mohammad_Biriya
428922,Liu_Buchan
428945,Robert_Smalls
42824,Jiang_Weixin
428985,Maria_Corrigan
428996,Caleb_Strong
429017,Masayuki_Naoshima
429031,Basim_Elkarra
429039,George_W._Hall
429052,Arthur_Grimm
429057,Charles_Peat
429108,Zurab_Noghaideli
429120,Michael_Donohoe
429126,Mohammad_Farouk_Tayfour
42836,"John_Hervey,_2nd_Baron_Hervey"
429171,Thomas_W._Williams_(Los_Angeles)
429181,Kazimieras_Saja
429185,Arif_Bangash
429191,Zhou_Jianren
429197,Moseley_Baker
429201,Giuliano_Poletti
429202,Luis_Humberto_Gómez_Gallo
429217,George_Lee_(journalist)
429224,Liu-Wang_Liming
429235,Eng_Chhai_Eang
4314,Siegfried_Nagl
42838,Shahida_Rehmani
429246,Tarana_Halim
429280,Ramhit_Gupta
429362,Charlie_Collins_(politician)
429371,Gunnar_Henriksson
429400,Wang_Dazhi
429422,S._Sharma
429478,Mischaël_Modrikamen
429485,Takeshi_Hosaka
429491,Mohammad_Khader_Moideen
429495,Tommy_Thompson_(Parks_Commissioner)
42861,Thakur_Ram_Lal
429498,Tommy_Casanova
429499,Lulzim_Basha
429500,Sergei_Bakinsky
429541,A._Rajagopal
429562,Shirley_Franklin
429579,Benjamin_Isaacs
429584,Pellegrino_Rossi
429618,Luis_Jorge_Mayser_Ardaya
429641,M._L._A._M._Hizbullah
429643,Sadiq_Hussain_Qureshi
42864,Giorgi_Asanidze
429649,Marja_van_Bijsterveldt
429700,Wilfried_Emvula
429733,Nathaniel_Fiennes
429742,Jarbas_Vasconcelos
429754,Andreas_Baum
429772,J._Edward_Caldwell
429781,Stephen_Jones_(Australian_politician)
429799,X._M._Sellathambu
429806,Fernando_Callejas_Barona
429812,Valeri_Gladilin
42866,Abu_Bakr_Baira
429816,Bernard_Charnwut_Chan
429866,Domicela_Kopaczewska
429905,Ryuji_Matsumura
429917,Alan_Schlesinger
429922,Péter_Csizi
429931,K._Balakrishnan
429940,John_Coventry_(Royalist)
429956,Domenico_Leccisi
429957,Ahmed_al-Hiba
429984,David_Shepherd_(Canadian_politician)
42894,Francisca_Oteng-Mensah
429995,Manuel_Bulnes
430011,Mahadeo_Singh_Khandela
430029,Mostafa_Adl
430047,József_Vass
