ID,url_name
695116,Henk_Bleker
695138,Jack_Howman
695139,Rudolf_Herrnstadt
695146,István_Sági
695187,George_Firestone
69645,Ali_Dhere
695261,Mateusz_Piskorski
695269,Robert_Serumaga
695289,Zhao_Yide
695290,Zoltán_Balczó
695293,Gheorghe_Vergil_Șerbu
695319,Jon_Georg_Dale
695333,Daniel_Stewart_(politician)
695341,Simon_Loueckhote
695345,Akin_Babalola_Kamar_Odunsi
695364,Itzel_Ríos_de_la_Mora
69676,Walter_Boasso
695365,Chuck_Schumer
695373,Mary_C._Noble
695379,Roni_Brizon
695385,Felix_Wankel
695403,Ali_Sabri
695411,George_Boyle_Hanna
695422,Lewis_L._Morgan
695456,Dragan_Tsankov
695506,Alicia_Ricalde_Magaña
695519,Gao_Yao_(minister)
69708,Guido_De_Ruggiero
695524,Wang_Xiaojie
695532,Gaston_Allemane
695536,José_Emilio_Lunghi
695578,Trương_Đình_Dzu
695581,Cristian_Boureanu
695609,Kamil_Iskhakov
695652,Neelan_Tiruchelvam
695654,Fiatau_Penitala_Teo
695661,Palitha_Thewarapperuma
695690,Nancy_Skinner_(California_politician)
69729,Andreas_Kopasis
695692,Veli_Harxhi
695702,Huang_Kunming
695706,Odette_Duriez
695715,Brandy_Payne
695740,Amadeo_Sabattini
695787,Gábor_Péter
695801,James_D._Breckinridge
695808,Zoran_Alimpić
695838,Wilhelm_Rediess
695886,Viljami_Kalliokoski
69748,Siaka_Stevens
695910,Cai_Yuanpei
695912,She'ar_Yashuv_Cohen
695931,Armando_Vara
695978,Pierre-Ernest_Abandzounou
696006,Ragnvald_Winjum
696010,Virginia_Bottomley
696043,Jules_Molle
696067,Ekuikui_IV
696108,James_Blindell
696120,Gabriel_Opio
69785,Takamaro_Fukuoka
696139,Marcel_Henry
696174,Ad_Koppejan
696186,Silvana_Amati
696205,Kjell-Idar_Juvik
696210,Emilio_Portes_Gil
696211,David_McKellop_Hodge
696216,William_O'Neill_(Connecticut_politician)
696249,Vinubhai_Patel
696268,Frederick_Albert_Phillips
696272,Anton_von_Aretin
69787,John_McKager_Stipanovich
696277,Přemysl_Sobotka
696303,Magdalena_Fransson
696305,Giuseppe_Pisanu
696322,Ivan_Fuksa
696348,"Philip_Noel-Baker,_Baron_Noel-Baker"
696363,Sava_Bjelanović
696382,Salahuddin_Ayub
696400,Bharat_Barot
696449,U._Srinivas_Mallya
696450,Cassim_Chilumpha
69805,Hermann_Greulich
696471,"Zoltán_Kovács_(politician,_1969)"
696493,Theo_Mitchell
696543,Déirdre_de_Búrca
696557,Juan_Fernando_Lobo
696594,Samuel_Clarke_Porter
696602,Silvius_Condpan
696604,Víctor_Oswaldo_Fuentes_Solís
696628,Ludwig_Bamberger
696652,I._C._Frimu
696663,Mallika_Prasad
7142,Saburo_Okita
69812,Leonardo_Ribeiro_de_Almeida
696751,Kavitha_Maloth
696754,Joseph_Ole_Lenku
696794,André-Napoléon_Fontainas
696803,Per_Jonas_Edberg
696805,Mauricio_Toledo_Gutiérrez
696820,Hans_Kristian_Seip
696842,Abdelghani_Bousta
696887,Jean_Sagbo
696910,Christian_Bataille
696912,Ali_M._Hasanov
69846,Tuitama_Talalelei_Tuitama
696913,Levon_Zourabian
696929,Altaf_Hussain
696954,Hala_Shukrallah
696965,Philippe_Marini
696991,Naranbhai_Rathwa
696993,Anthony_R._Suarez
697010,Janne_Sjelmo_Nordås
697019,Katharina_Nocun
697052,P._Lingam
697086,Massud_Mirza
69859,Sergei_Kovalev
697087,C._Seetaramulu
697098,José_Francisco_Álvarez
697138,Silvestre_Reyes
697144,Bonaventura_Carles_Aribau
697172,Gladwyn_Jebb
697178,Keith_E._Haynes
697206,Rashid_Nurgaliyev
697229,Dagfinn_Ripnes
697244,Jadugopal_Mukherjee
697246,Osmany_Cienfuegos
69864,Perza_Rodríguez
697260,Mulayam_Singh_Yadav
697278,Sailabala_Das
697295,Anil_Lad
697354,Alberto_Bustamante_Belaunde
697371,Helmuth_von_Maltzahn
697375,Edmund_Fjærvoll
