,name,nationality
342,1,dalmatia
343,1,choctaw
344,1,aymara people
345,1,white south african
346,1,bonaire
347,1,byzantine empire
348,1,menominee
349,1,continent
350,1,piegan blackfeet
351,1,kingdom of sardinia
352,1,papua new guinean
353,1,weimar republic
354,1,kashmiris
355,1,mordvins
356,1,valencian people
357,1,volga tatars
358,1,antiguan or barbudan
359,1,udmurt people
360,1,non-citizens (latvia)
361,1,moscow
362,1,saskatchewan
363,1,statelessness
364,1,gibraltarians
365,1,basques
366,1,serbs of bosnia and herzegovina
