0,11
5,144
6,183
8,246
9,248
12,259
14,316
16,396
17,427
19,444
22,483
27,548
28,583
31,606
33,664
36,709
37,711
38,713
39,740
42,794
43,797
44,816
47,848
48,853
50,863
52,889
57,979
58,982
59,991
62,1019
66,1057
67,1173
70,1210
73,1310
74,1333
75,1385
76,1403
79,1467
82,1513
83,1531
84,1583
86,1635
88,1677
89,1679
92,1693
94,1729
95,1744
98,1832
99,1841
100,1858
101,1867
102,1868
109,1939
110,1960
116,2048
117,2052
118,2061
119,2063
121,2091
122,2102
123,2103
124,2115
128,2256
133,2299
135,2374
136,2379
138,2398
139,2407
142,2486
143,2487
149,2529
150,2533
151,2549
152,2558
153,2594
157,2646
158,2687
160,2744
161,2755
162,2765
164,2817
165,2842
166,2855
169,2873
170,2878
171,2884
172,2896
175,2948
177,2998
178,3005
183,3058
185,3104
189,3205
190,3215
191,3246
193,3263
196,3307
198,3324
202,3349
204,3375
208,3422
209,3436
211,3464
213,3518
214,3542
217,3599
221,3771
227,3854
228,3873
230,3894
236,4015
238,4024
239,4046
240,4049
242,4070
243,4080
244,4095
245,4108
247,4123
250,4179
253,4285
254,4306
255,4309
257,4330
258,4349
260,4361
263,4388
265,4439
269,4540
275,4712
277,4736
280,4779
281,4787
284,4806
285,4818
293,4907
295,4949
298,4960
300,5002
301,5018
304,5081
305,5084
309,5245
310,5248
312,5260
313,5261
314,5318
317,5327
319,5336
320,5354
322,5364
323,5384
324,5395
325,5399
326,5403
329,5430
330,5445
331,5448
332,5479
333,5490
334,5503
335,5507
336,5512
338,5521
343,5619
344,5629
346,5666
347,5677
349,5783
352,5824
354,5876
355,5896
358,5902
359,5908
361,5988
362,6018
367,6091
368,6114
370,6132
372,6153
373,6160
374,6176
376,6191
377,6196
385,6375
390,6444
391,6461
395,6561
396,6583
398,6651
399,6658
401,6674
403,6690
405,6890
406,6893
408,6981
414,7142
416,7145
418,7176
419,7190
421,7203
424,7252
427,7326
428,7333
438,7470
439,7472
442,7521
443,7525
444,7566
446,7600
447,7675
448,7677
449,7690
450,7715
453,7792
462,7963
463,7974
465,8009
472,8193
474,8263
475,8290
478,8353
479,8357
480,8415
481,8426
482,8427
483,8430
484,8443
485,8465
486,8472
490,8517
492,8529
493,8535
494,8539
495,8550
496,8595
497,8651
498,8665
500,8683
501,8704
502,8722
504,8739
506,8812
508,8822
511,8850
516,8901
521,8974
524,9039
525,9058
526,9060
527,9092
531,9223
532,9241
533,9243
536,9327
537,9353
540,9393
543,9441
547,9523
550,9600
551,9614
554,9633
556,9645
559,9687
570,9925
571,9930
572,9963
573,9973
580,10137
581,10143
582,10184
584,10197
585,10225
586,10246
592,10331
593,10348
597,10394
599,10432
602,10492
606,10569
607,10571
610,10627
614,10674
616,10749
620,10791
621,10822
623,10841
629,10923
631,10930
634,10938
635,10944
636,10957
639,10979
640,10989
641,11000
642,11013
646,11094
649,11134
651,11148
653,11165
654,11184
659,11227
661,11252
665,11307
667,11406
670,11476
672,11494
673,11501
674,11504
