names_u,names_q
Nizamettin_Erkmen,Nizamettin_Erkmen
Claudio_Scajola,Claudio_Scajola
Yang_Ti-liang,Yang_Ti-liang
Mohammad_Natsir,Mohammad_Natsir
Carolyn_Maloney,Carolyn_Maloney
Todd_Rokita,Todd_Rokita
Massimo_Giorgetti,Massimo_Giorgetti
Brice_Lalonde,Brice_Lalonde
Slavica_Đukić_Dejanović,Slavica_%C4%90uki%C4%87_Dejanovi%C4%87
Bruce_Jesson,Bruce_Jesson
Thomas_Ravenel,Thomas_Ravenel
Akhilesh_Yadav,Akhilesh_Yadav
Luc_Recordon,Luc_Recordon
Gustaw_Przeczek,Gustaw_Przeczek
Tunji_Olurin,Tunji_Olurin
Jalagam_Vengala_Rao,Jalagam_Vengala_Rao
Mohammad_Reza_Aref,Mohammad_Reza_Aref
Ali_Ahsan_Mohammad_Mojaheed,Ali_Ahsan_Mohammad_Mojaheed
Rigoberta_Menchú,Rigoberta_Mench%C3%BA
Lucie_Leblanc,Lucie_Leblanc
David_Milwyn_Duggan,David_Milwyn_Duggan
Mark_Souder,Mark_Souder
Paul_Janson,Paul_Janson
Iain_Smith_(Scottish_politician),Iain_Smith_%28Scottish_politician%29
Al_Smith,Al_Smith
Sachin_Ahir,Sachin_Ahir
Tom_Tauke,Tom_Tauke
Wojciech_Olejniczak,Wojciech_Olejniczak
V._J._Sukselainen,V._J._Sukselainen
Walter_E._Fauntroy,Walter_E._Fauntroy
Leopold_De_Wael,Leopold_De_Wael
Mira_Spivak,Mira_Spivak
Brody_Sweeney,Brody_Sweeney
G._M._Syed,G._M._Syed
James_W._Mott,James_W._Mott
Daggubati_Venkateswara_Rao,Daggubati_Venkateswara_Rao
Arthur_O'Neill,Arthur_O%27Neill
Francis_W._Eppes,Francis_W._Eppes
Deendayal_Upadhyaya,Deendayal_Upadhyaya
Rod_Donald,Rod_Donald
Adolf_Fischhof,Adolf_Fischhof
Francis_Burdett,Francis_Burdett
Emmanuel_Erskine,Emmanuel_Erskine
Dingiri_Banda_Wijetunga,Dingiri_Banda_Wijetunga
Vida_Goldstein,Vida_Goldstein
Christian_K._Wedemeyer,Christian_K._Wedemeyer
Chiu_Chuang-huan,Chiu_Chuang-huan
Thomas_Starr_King,Thomas_Starr_King
Antonio_Martino,Antonio_Martino
Graciliano_Ramos,Graciliano_Ramos
Guo_Jinlong,Guo_Jinlong
Wenxiang,Wenxiang
Vakha_Arsanov,Vakha_Arsanov
Seamus_Mallon,Seamus_Mallon
Parker_Griffith,Parker_Griffith
Raul_Manglapus,Raul_Manglapus
Carmencita_Hederman,Carmencita_Hederman
Carlos_Duque,Carlos_Duque
Hilda_Mason,Hilda_Mason
Vicki_Berger,Vicki_Berger
Wilson_Hungerford,Wilson_Hungerford
Marcello_Dell'Utri,Marcello_Dell%27Utri
Volodymyr_Ohryzko,Volodymyr_Ohryzko
Bill_Rosendahl,Bill_Rosendahl
Barry_Campbell,Barry_Campbell
Antonio_Bajamonti,Antonio_Bajamonti
Xie_Xide,Xie_Xide
Vicente_Riva_Palacio,Vicente_Riva_Palacio
Jim_Sillars,Jim_Sillars
Wijeyananda_Dahanayake,Wijeyananda_Dahanayake
Howard_Baker,Howard_Baker
Ottaviano_Del_Turco,Ottaviano_Del_Turco
Emil_Boc,Emil_Boc
Dmitry_Manuilsky,Dmitry_Manuilsky
Jann_Stuckey,Jann_Stuckey
Jean-Jacques_Susini,Jean-Jacques_Susini
Robert_Libman,Robert_Libman
Shamsul_Huq,Shamsul_Huq
Manuel_Fraga_Iribarne,Manuel_Fraga_Iribarne
Zhang_Jian_(politician),Zhang_Jian_%28politician%29
B._D._Lakshman,B._D._Lakshman
Tina_Molinari,Tina_Molinari
Francesco_De_Martino,Francesco_De_Martino
Pedro_Montt,Pedro_Montt
Tan_Yankai,Tan_Yankai
Vilja_Toomast,Vilja_Toomast
Subramaniam_Sathasivam,Subramaniam_Sathasivam
Mark_Fredriksen,Mark_Fredriksen
Jia_Zhibang,Jia_Zhibang
Stephen_F._Chadwick,Stephen_F._Chadwick
Sam_Ratulangi,Sam_Ratulangi
Ulrik_Frederik_Cappelen,Ulrik_Frederik_Cappelen
Marco_Hausiku,Marco_Hausiku
Mridula_Sinha,Mridula_Sinha
Carlos_Julio_Arosemena_Monroy,Carlos_Julio_Arosemena_Monroy
Heinrich_Albertz,Heinrich_Albertz
Rodolfo_Elizondo_Torres,Rodolfo_Elizondo_Torres
Colleen_Hanabusa,Colleen_Hanabusa
Henry_E._Cooper,Henry_E._Cooper
Teodor_Teodorov,Teodor_Teodorov
Rob_Munro,Rob_Munro
Sajeeb_Wazed,Sajeeb_Wazed
Fred_Fono,Fred_Fono
Danny_Kinahan,Danny_Kinahan
Steve_Beshear,Steve_Beshear
Saburo_Okita,Saburo_Okita
Paul_Kronacker,Paul_Kronacker
Carol_Browner,Carol_Browner
Henry_Knox,Henry_Knox
Clive_Betts,Clive_Betts
Charles_Elwood_Brown,Charles_Elwood_Brown
Bobby_Richardson,Bobby_Richardson
Ge_Hongsheng,Ge_Hongsheng
Galvano_Della_Volpe,Galvano_Della_Volpe
Jolo_Revilla,Jolo_Revilla
Anna_Mukhamedov,Anna_Mukhamedov
Carmen_Alborch,Carmen_Alborch
Fotis_Kouvelis,Fotis_Kouvelis
John_Owen_Dominis,John_Owen_Dominis
James_Traficant,James_Traficant
Christine_Lagarde,Christine_Lagarde
Justo_Rufino_Barrios,Justo_Rufino_Barrios
Uzi_Baram,Uzi_Baram
Abdul_Rahman_Mustafa,Abdul_Rahman_Mustafa
Toni_Preckwinkle,Toni_Preckwinkle
Omar_Oussedik,Omar_Oussedik
Francisco_Forteza_(son),Francisco_Forteza_%28son%29
Asaf_Ali,Asaf_Ali
Nancy_Boyda,Nancy_Boyda
Martin_Mutschmann,Martin_Mutschmann
Josip_Predavec,Josip_Predavec
Kim_Jong-il,Kim_Jong-il
Prosper_Duvergier_de_Hauranne,Prosper_Duvergier_de_Hauranne
Vaiko,Vaiko
Guy_Favreau,Guy_Favreau
Fakhruddin_Ali_Ahmed,Fakhruddin_Ali_Ahmed
Jamshid_Amouzegar,Jamshid_Amouzegar
P._K._van_der_Byl,P._K._van_der_Byl
Phuntsok_Wangyal,Phuntsok_Wangyal
John_Casimir_Ehrnrooth,John_Casimir_Ehrnrooth
Timothy_Villagomez,Timothy_Villagomez
Kathleen_Wynne,Kathleen_Wynne
Navin_Maharaj,Navin_Maharaj
Angela_Merkel,Angela_Merkel
Eva_Biaudet,Eva_Biaudet
John_Foster_of_Dunleer,John_Foster_of_Dunleer
Ole_Henrik_Magga,Ole_Henrik_Magga
Jairam_Ramesh,Jairam_Ramesh
Mehmet_Ali_Talat,Mehmet_Ali_Talat
Aleksi_Inauri,Aleksi_Inauri
Geoff_Plant,Geoff_Plant
Robert_Tillmanns,Robert_Tillmanns
Aldo_Tessio,Aldo_Tessio
Cornelis_de_Witt,Cornelis_de_Witt
C._A._Shah,C._A._Shah
Mervyn_M._Dymally,Mervyn_M._Dymally
Elizabeth_Rowley,Elizabeth_Rowley
Wilfred_Elrington,Wilfred_Elrington
Majead_Ansari,Majead_Ansari
Bhagwant_Mann,Bhagwant_Mann
Stanisław_Kostka_Potocki,Stanis%C5%82aw_Kostka_Potocki
Paul_Levi,Paul_Levi
Richard_Davey_(MP),Richard_Davey_%28MP%29
Pasqual_Maragall_i_Mira,Pasqual_Maragall_i_Mira
Michael_Angottitauruq,Michael_Angottitauruq
U_Razak,U_Razak
Steve_Chia,Steve_Chia
P._Parameswaran,P._Parameswaran
László_Németh,L%C3%A1szl%C3%B3_N%C3%A9meth
Huang_Kecheng,Huang_Kecheng
Belden_Bly,Belden_Bly
Henry_Wilhelm_Kristiansen,Henry_Wilhelm_Kristiansen
Hilaria_Supa,Hilaria_Supa
Shyama_Singh,Shyama_Singh
Billy_Hutchinson,Billy_Hutchinson
David_Burnside,David_Burnside
Meyer_London,Meyer_London
Mario_Villanueva,Mario_Villanueva
Priscilla_Misihairabwi-Mushonga,Priscilla_Misihairabwi-Mushonga
