names_u,names_q
Mostafa_Kavakebian,Mostafa_Kavakebian
Robert_Sharman-Crawford,Robert_Sharman-Crawford
Victoria_Hernandez-Reyes,Victoria_Hernandez-Reyes
Heinrich_Albertz,Heinrich_Albertz
Rodolfo_Elizondo_Torres,Rodolfo_Elizondo_Torres
Colleen_Hanabusa,Colleen_Hanabusa
Henry_E._Cooper,Henry_E._Cooper
Teodor_Teodorov,Teodor_Teodorov
George_Chan_Hong_Nam,George_Chan_Hong_Nam
Rob_Munro,Rob_Munro
Roger_van_Boxtel,Roger_van_Boxtel
Sajeeb_Wazed,Sajeeb_Wazed
Fred_Fono,Fred_Fono
Proco_Joe_Moreno,Proco_Joe_Moreno
Danny_Kinahan,Danny_Kinahan
Steve_Beshear,Steve_Beshear
Saburo_Okita,Saburo_Okita
Paul_Kronacker,Paul_Kronacker
Carol_Browner,Carol_Browner
Henry_Knox,Henry_Knox
Clive_Betts,Clive_Betts
Yan_Gamarnik,Yan_Gamarnik
Charles_Elwood_Brown,Charles_Elwood_Brown
Bobby_Richardson,Bobby_Richardson
Ge_Hongsheng,Ge_Hongsheng
Allison_Madueke,Allison_Madueke
Galvano_Della_Volpe,Galvano_Della_Volpe
Jolo_Revilla,Jolo_Revilla
Anna_Mukhamedov,Anna_Mukhamedov
Carmen_Alborch,Carmen_Alborch
W._D._Childers,W._D._Childers
Fotis_Kouvelis,Fotis_Kouvelis
John_Owen_Dominis,John_Owen_Dominis
Rolf_Gerhardsen,Rolf_Gerhardsen
Maria_Rita_Lorenzetti,Maria_Rita_Lorenzetti
James_Traficant,James_Traficant
Christine_Lagarde,Christine_Lagarde
Justo_Rufino_Barrios,Justo_Rufino_Barrios
Donald_Lee_(politician),Donald_Lee_%28politician%29
Uzi_Baram,Uzi_Baram
Abdul_Rahman_Mustafa,Abdul_Rahman_Mustafa
Toni_Preckwinkle,Toni_Preckwinkle
Patricia_R._Bellock,Patricia_R._Bellock
Omar_Oussedik,Omar_Oussedik
Francisco_Forteza_(son),Francisco_Forteza_%28son%29
Sharon_Ebanks,Sharon_Ebanks
Asaf_Ali,Asaf_Ali
Nancy_Boyda,Nancy_Boyda
Myqerem_Tafaj,Myqerem_Tafaj
Tarun_Gogoi,Tarun_Gogoi
Martin_Mutschmann,Martin_Mutschmann
Josip_Predavec,Josip_Predavec
Kim_Jong-il,Kim_Jong-il
Ramazan_Bashardost,Ramazan_Bashardost
Prosper_Duvergier_de_Hauranne,Prosper_Duvergier_de_Hauranne
Joko_Widodo,Joko_Widodo
Vaiko,Vaiko
Guy_Favreau,Guy_Favreau
Fakhruddin_Ali_Ahmed,Fakhruddin_Ali_Ahmed
Julius_Anton_Glaser,Julius_Anton_Glaser
Jamshid_Amouzegar,Jamshid_Amouzegar
P._K._van_der_Byl,P._K._van_der_Byl
Phuntsok_Wangyal,Phuntsok_Wangyal
Paolo_Orano,Paolo_Orano
John_Casimir_Ehrnrooth,John_Casimir_Ehrnrooth
Timothy_Villagomez,Timothy_Villagomez
Mahamadou_Danda,Mahamadou_Danda
Haya_van_Someren,Haya_van_Someren
Kathleen_Wynne,Kathleen_Wynne
Navin_Maharaj,Navin_Maharaj
M._S._Gill,M._S._Gill
Guy_Scott,Guy_Scott
Richard_Salwey,Richard_Salwey
Angela_Merkel,Angela_Merkel
Ferenc_Schnetzer,Ferenc_Schnetzer
Eva_Biaudet,Eva_Biaudet
John_Foster_of_Dunleer,John_Foster_of_Dunleer
Ole_Henrik_Magga,Ole_Henrik_Magga
Jairam_Ramesh,Jairam_Ramesh
Dennis_Elwell_(politician),Dennis_Elwell_%28politician%29
Mita_Teriipaia,Mita_Teriipaia
Jharna_Das,Jharna_Das
Mehmet_Ali_Talat,Mehmet_Ali_Talat
Douglas_Carswell,Douglas_Carswell
Thomas_Alexander_Marshall,Thomas_Alexander_Marshall
Aleksi_Inauri,Aleksi_Inauri
Geoff_Plant,Geoff_Plant
Robert_Tillmanns,Robert_Tillmanns
Aldo_Tessio,Aldo_Tessio
Cornelis_de_Witt,Cornelis_de_Witt
C._A._Shah,C._A._Shah
Mervyn_M._Dymally,Mervyn_M._Dymally
Elizabeth_Rowley,Elizabeth_Rowley
Lajos_Bokros,Lajos_Bokros
Wilfred_Elrington,Wilfred_Elrington
Majead_Ansari,Majead_Ansari
Bhagwant_Mann,Bhagwant_Mann
Shadi_Taha,Shadi_Taha
Stanisław_Kostka_Potocki,Stanis%C5%82aw_Kostka_Potocki
Paul_Levi,Paul_Levi
Richard_Davey_(MP),Richard_Davey_%28MP%29
Pasqual_Maragall_i_Mira,Pasqual_Maragall_i_Mira
Michael_Angottitauruq,Michael_Angottitauruq
Annelie_Lotriet,Annelie_Lotriet
U_Razak,U_Razak
Steve_Chia,Steve_Chia
P._Parameswaran,P._Parameswaran
George_Athor,George_Athor
László_Németh,L%C3%A1szl%C3%B3_N%C3%A9meth
Huang_Kecheng,Huang_Kecheng
Belden_Bly,Belden_Bly
Stephanie_Miner,Stephanie_Miner
Henry_Wilhelm_Kristiansen,Henry_Wilhelm_Kristiansen
Hilaria_Supa,Hilaria_Supa
Shyama_Singh,Shyama_Singh
Billy_Hutchinson,Billy_Hutchinson
Ya'akov_Frank,Ya%27akov_Frank
David_Burnside,David_Burnside
María_Eugenia_Vidal,Mar%C3%ADa_Eugenia_Vidal
Bradley_M._Campbell,Bradley_M._Campbell
Meyer_London,Meyer_London
Vyacheslav_Kyrylenko,Vyacheslav_Kyrylenko
Olav_Kringen,Olav_Kringen
Farooq_Naek,Farooq_Naek
Filippos_Petsalnikos,Filippos_Petsalnikos
Mario_Villanueva,Mario_Villanueva
Priscilla_Misihairabwi-Mushonga,Priscilla_Misihairabwi-Mushonga
Yvette_Alexander,Yvette_Alexander
Ed_Flanagan_(politician),Ed_Flanagan_%28politician%29
Karpal_Singh,Karpal_Singh
A._K._Antony,A._K._Antony
John_Rathbone,John_Rathbone
Javier_Mazariegos,Javier_Mazariegos
John_Hancock,John_Hancock
Barbara_Comstock,Barbara_Comstock
Dennis_Mills,Dennis_Mills
Herbert_FitzSimons,Herbert_FitzSimons
Ron_Clarke,Ron_Clarke
Petko_Slaveykov,Petko_Slaveykov
Edward_Cohen,Edward_Cohen
Friedrich_Akel,Friedrich_Akel
Edi_Rama,Edi_Rama
Riza_Sapunxhiu,Riza_Sapunxhiu
Zeng_Gong,Zeng_Gong
Wendy_Alexander,Wendy_Alexander
Murali_(Malayalam_actor),Murali_%28Malayalam_actor%29
Dominic_Agostino,Dominic_Agostino
Harry_S._Truman,Harry_S._Truman
Carlos_Walker_Martínez,Carlos_Walker_Mart%C3%ADnez
William_Kennard,William_Kennard
Graham_Quirk,Graham_Quirk
Rik_Torfs,Rik_Torfs
Viktor_Dyk,Viktor_Dyk
Emese_Danks,Emese_Danks
Piet_de_Jong,Piet_de_Jong
Tom_Horne,Tom_Horne
Wong_Ting-kwong,Wong_Ting-kwong
Christopher_Nsahlai,Christopher_Nsahlai
Arturo_Montiel,Arturo_Montiel
John_Pope_Cook,John_Pope_Cook
Declan_Bree,Declan_Bree
Wee_Choo_Keong,Wee_Choo_Keong
Clémentine_Autain,Cl%C3%A9mentine_Autain
Leonidas_Iasonidis,Leonidas_Iasonidis
George_Kettmann,George_Kettmann
T._Jeevan_Reddy,T._Jeevan_Reddy
Michael_Nadli,Michael_Nadli
Collins_Dauda,Collins_Dauda
Ludmyrna_Lopez,Ludmyrna_Lopez
Samir_al-Rifai,Samir_al-Rifai
Giulio_Prinetti,Giulio_Prinetti
Bismillah_Khan_Mohammadi,Bismillah_Khan_Mohammadi
"Sayeeda_Warsi,_Baroness_Warsi",Sayeeda_Warsi%2C_Baroness_Warsi
Cheng_Qian,Cheng_Qian
John_G._Trueschler,John_G._Trueschler
Malachy_McCourt,Malachy_McCourt
David_Adams_(loyalist),David_Adams_%28loyalist%29
Julie_Sutton_(mayor),Julie_Sutton_%28mayor%29
Tom_Bradley_(American_politician),Tom_Bradley_%28American_politician%29
Nambaryn_Enkhbayar,Nambaryn_Enkhbayar
Peter_F._Krogh,Peter_F._Krogh
Charles_J._Colgan,Charles_J._Colgan
Hideo_Hiraoka,Hideo_Hiraoka
Jim_Graham,Jim_Graham
Peter_Gingold,Peter_Gingold
Jonathan_Bell_(UK_politician),Jonathan_Bell_%28UK_politician%29
Maurice_Xiberras,Maurice_Xiberras
Bob_McLeod_(politician),Bob_McLeod_%28politician%29
Charles_I._du_Pont,Charles_I._du_Pont
John_Stewart_McDiarmid,John_Stewart_McDiarmid
Syed_Ali_Shah_Geelani,Syed_Ali_Shah_Geelani
Toni_Atkins,Toni_Atkins
James_Bailie,James_Bailie
Rawya_Saud_Al_Busaidi,Rawya_Saud_Al_Busaidi
Wilson_Frost,Wilson_Frost
Ngo_Dinh_Diem,Ngo_Dinh_Diem
Antoni_Macierewicz,Antoni_Macierewicz
Anton_Alexander,Anton_Alexander
Silvia_Modig,Silvia_Modig
Kazuo_Aoki,Kazuo_Aoki
Hermann_A._Widemann,Hermann_A._Widemann
Paddy_O'Callaghan,Paddy_O%27Callaghan
Taylor_W._O'Hearn,Taylor_W._O%27Hearn
Ivo_Vajgl,Ivo_Vajgl
Muhammad_Aslam_Khan_Khattak,Muhammad_Aslam_Khan_Khattak
Yvette_Clarke,Yvette_Clarke
Aleksandar_Tsankov,Aleksandar_Tsankov
Jeff_Seeney,Jeff_Seeney
Aziz_Ishak,Aziz_Ishak
Tofazzal_Hossain_Manik_Miah,Tofazzal_Hossain_Manik_Miah
Ralph_A._Gamble,Ralph_A._Gamble
Bill_Rebane,Bill_Rebane
Betsey_Bayless,Betsey_Bayless
Julian_West_(politician),Julian_West_%28politician%29
Liesbeth_Spies,Liesbeth_Spies
Learnmore_Jongwe,Learnmore_Jongwe
Ferenc_Bihar,Ferenc_Bihar
Sokol_Olldashi,Sokol_Olldashi
George_Mason,George_Mason
Bruce_Morrison,Bruce_Morrison
Ved_Prakash_Goyal,Ved_Prakash_Goyal
Wu_Huawen,Wu_Huawen
John_Marek,John_Marek
Tofilau_Eti_Alesana,Tofilau_Eti_Alesana
Harry_W._Shlaudeman,Harry_W._Shlaudeman
Malek_Boutih,Malek_Boutih
T._K._Divakaran,T._K._Divakaran
Alexandros_Skouzes,Alexandros_Skouzes
Yukari_Sato,Yukari_Sato
Sigrid_Utkilen,Sigrid_Utkilen
Brian_Rohrbough,Brian_Rohrbough
Joseph_Ginat,Joseph_Ginat
Anastasio_Somoza_Debayle,Anastasio_Somoza_Debayle
Vijayashanti,Vijayashanti
William_Stephens_Smith,William_Stephens_Smith
Lansana_Fadika,Lansana_Fadika
Marietta_Farrell,Marietta_Farrell
Omar_Pasha_Vrioni_II,Omar_Pasha_Vrioni_II
Kamanawa,Kamanawa
Thomas_Brackett_Reed,Thomas_Brackett_Reed
Tawi_Sli,Tawi_Sli
Enrique_Balmaceda,Enrique_Balmaceda
Johannes_Kahrs_(politician),Johannes_Kahrs_%28politician%29
Francie_Molloy,Francie_Molloy
David_Maynier,David_Maynier
Hans_Olav_Syversen,Hans_Olav_Syversen
Petro_Symonenko,Petro_Symonenko
Maria_Clara_Lobregat,Maria_Clara_Lobregat
Moshe_Sneh,Moshe_Sneh
Chen_Jitang,Chen_Jitang
Batt_O'Keeffe,Batt_O%27Keeffe
Carlos_Veiga,Carlos_Veiga
William_Gopallawa,William_Gopallawa
Hannan_Mollah,Hannan_Mollah
Francisco_Antonino_Vidal,Francisco_Antonino_Vidal
Massimo_D'Alema,Massimo_D%27Alema
Kay_A._Orr,Kay_A._Orr
Nikki_Haley,Nikki_Haley
Nahum_Langental,Nahum_Langental
Firmin_Ayessa,Firmin_Ayessa
Arthur_Levitt,Arthur_Levitt
Milan_Kňažko,Milan_K%C5%88a%C5%BEko
Ronald_Pofalla,Ronald_Pofalla
Walter_Polakowski,Walter_Polakowski
Sylvia_Hermon,Sylvia_Hermon
Vladimir_Ivashko,Vladimir_Ivashko
Frans_Grootjans,Frans_Grootjans
Janusz_Lewandowski,Janusz_Lewandowski
Paul_Boundoukou-Latha,Paul_Boundoukou-Latha
Chester_C._Thompson,Chester_C._Thompson
Abbas-Ali_Amid_Zanjani,Abbas-Ali_Amid_Zanjani
Arvid_Olsson,Arvid_Olsson
Ivan_Todorov-Gorunia,Ivan_Todorov-Gorunia
Gebru_Asrat,Gebru_Asrat
John_Philpot_Curran,John_Philpot_Curran
Leonel_Godoy_Rangel,Leonel_Godoy_Rangel
Damodaram_Sanjivayya,Damodaram_Sanjivayya
David_Mellor,David_Mellor
Manny_Pacquiao,Manny_Pacquiao
Ruth_Noemí_Colón,Ruth_Noem%C3%AD_Col%C3%B3n
Shamsiah_Fakeh,Shamsiah_Fakeh
William_Murray_McPherson,William_Murray_McPherson
Walter_Veltroni,Walter_Veltroni
Viktor_Rashnikov,Viktor_Rashnikov
Winnie_Ewing,Winnie_Ewing
"Emma_Nicholson,_Baroness_Nicholson_of_Winterbourne",Emma_Nicholson%2C_Baroness_Nicholson_of_Winterbourne
Vicente_Albero,Vicente_Albero
Guan_Linzheng,Guan_Linzheng
Heinz_Rutha,Heinz_Rutha
Guy_Spitaels,Guy_Spitaels
Rudolph_G._Tenerowicz,Rudolph_G._Tenerowicz
Alfred_Wellington_Carter,Alfred_Wellington_Carter
Nilesh_Narayan_Rane,Nilesh_Narayan_Rane
Marek_Rocki,Marek_Rocki
Jeff_Angelo,Jeff_Angelo
Benjamin_Spock,Benjamin_Spock
Gul_Haidar,Gul_Haidar
John_Andrew_Long,John_Andrew_Long
Bill_Ferguson_(politician),Bill_Ferguson_%28politician%29
Robert_F._Kennon,Robert_F._Kennon
Paul_Abine_Ayah,Paul_Abine_Ayah
Charles_Hamlin_(general),Charles_Hamlin_%28general%29
Christoph_Blocher,Christoph_Blocher
Narayan_Man_Bijukchhe,Narayan_Man_Bijukchhe
Prafulla_Chandra_Ghosh,Prafulla_Chandra_Ghosh
Charles_J._McCarthy,Charles_J._McCarthy
Dale_Jackaman,Dale_Jackaman
John_Leng_Sturrock,John_Leng_Sturrock
C._Farris_Bryant,C._Farris_Bryant
John_A._Lee,John_A._Lee
Ola_Borten_Moe,Ola_Borten_Moe
Gabriela_Arroyo,Gabriela_Arroyo
Henry_Morris-Jones,Henry_Morris-Jones
Bert_Maertens,Bert_Maertens
Subarna_Shamsher_Rana,Subarna_Shamsher_Rana
Anthony_Onyearugbulem,Anthony_Onyearugbulem
Jonathan_Cilley,Jonathan_Cilley
John_Tangi,John_Tangi
Suvendu_Adhikari,Suvendu_Adhikari
Thomas_Baltzell,Thomas_Baltzell
Mike_Freer,Mike_Freer
Agha_Shahi,Agha_Shahi
Odd_Holten,Odd_Holten
Jang_Sung-taek,Jang_Sung-taek
Kolinda_Grabar-Kitarović,Kolinda_Grabar-Kitarovi%C4%87
Heinz_Kessler,Heinz_Kessler
K._B._S._Mani,K._B._S._Mani
Thomas_Madsen-Mygdal,Thomas_Madsen-Mygdal
Rajesh_Khanna,Rajesh_Khanna
Masao_Nakayama,Masao_Nakayama
Vicky_Leandros,Vicky_Leandros
Ernest_Bai_Koroma,Ernest_Bai_Koroma
Zain_Ansari,Zain_Ansari
Sampat_Singh,Sampat_Singh
Stavros_Dimas,Stavros_Dimas
John_E._Manders,John_E._Manders
Dehra_Parker,Dehra_Parker
Edward_Junius_Black,Edward_Junius_Black
Ueli_Maurer,Ueli_Maurer
Carl_Christian_Hall,Carl_Christian_Hall
Mikhail_Tugan-Baranovsky,Mikhail_Tugan-Baranovsky
Chang_Chun-hsiung,Chang_Chun-hsiung
Luther_F._Cole,Luther_F._Cole
Francesc_Layret,Francesc_Layret
Qian_Liu,Qian_Liu
Walter_Washington,Walter_Washington
Robert_Adair_(politician),Robert_Adair_%28politician%29
Sanjay_Dutt,Sanjay_Dutt
Barbara_Norton,Barbara_Norton
Melvin_H._Evans,Melvin_H._Evans
Alexandru_Macedonski,Alexandru_Macedonski
Lambert_Ehrlich,Lambert_Ehrlich
Tarit_Baran_Topdar,Tarit_Baran_Topdar
Dannel_Malloy,Dannel_Malloy
Juan_Carlos_Varela,Juan_Carlos_Varela
Mark_Hlady,Mark_Hlady
Edward_Wojtas,Edward_Wojtas
Rahul_Gandhi,Rahul_Gandhi
Dorgon,Dorgon
James_Chan_Khay_Syn,James_Chan_Khay_Syn
Ron_Huldai,Ron_Huldai
Rita_Borsellino,Rita_Borsellino
Jennette_Bradley,Jennette_Bradley
Ralph_Nader,Ralph_Nader
George_Sutherland,George_Sutherland
Kamal_Hassan_Ali,Kamal_Hassan_Ali
Warren_Terhune,Warren_Terhune
Wang_Mo,Wang_Mo
Shridath_Ramphal,Shridath_Ramphal
Walter_Barrionuevo,Walter_Barrionuevo
Sitiveni_Rabuka,Sitiveni_Rabuka
Khalil_al-Wazir,Khalil_al-Wazir
Enrique_Ona,Enrique_Ona
Erminio_Sipari,Erminio_Sipari
Shmuel_Rechtman,Shmuel_Rechtman
Ibikunle_Amosun,Ibikunle_Amosun
Robert_Lacoste,Robert_Lacoste
Simon_Ejua,Simon_Ejua
Li_Jishen,Li_Jishen
Sej_Motau,Sej_Motau
Chu_Minyi,Chu_Minyi
Jesse_Robredo,Jesse_Robredo
Samuel_L._Mitchill,Samuel_L._Mitchill
Manikrao_Hodlya_Gavit,Manikrao_Hodlya_Gavit
Chang_Wen-ing,Chang_Wen-ing
María_Eugenia_Rojas_Correa,Mar%C3%ADa_Eugenia_Rojas_Correa
Weslyn_Mather,Weslyn_Mather
P._Kamalanathan,P._Kamalanathan
Reed_V._Hillman,Reed_V._Hillman
Luís_de_Almeida_Braga,Lu%C3%ADs_de_Almeida_Braga
Hu_Lancheng,Hu_Lancheng
Miguel_Antonio_Otero_(born_1859),Miguel_Antonio_Otero_%28born_1859%29
Djemal_Pasha,Djemal_Pasha
Barbara_Hafer,Barbara_Hafer
Miroslav_Kalousek,Miroslav_Kalousek
Renato_Schifani,Renato_Schifani
Aurora_Enerio-Cerilles,Aurora_Enerio-Cerilles
Jamaan_Al-Harbash,Jamaan_Al-Harbash
Pascal_Smet,Pascal_Smet
Daniel_J._Ronan,Daniel_J._Ronan
Eddie_McAteer,Eddie_McAteer
Adamee_Komoartok,Adamee_Komoartok
Þórunn_Sveinbjarnardóttir,%C3%9E%C3%B3runn_Sveinbjarnard%C3%B3ttir
Walter_Scott-Elliot,Walter_Scott-Elliot
Muhammad_Zafarullah_Khan,Muhammad_Zafarullah_Khan
Francisco_S._Carvajal,Francisco_S._Carvajal
Otto_Lenz,Otto_Lenz
Bruce_Sundlun,Bruce_Sundlun
Paul_V._McNutt,Paul_V._McNutt
John_Scott_Lidgett,John_Scott_Lidgett
Curren_Price,Curren_Price
N._K._K._P._Raja,N._K._K._P._Raja
Hussein_Kamel_al-Majid,Hussein_Kamel_al-Majid
A._Walter_Norblad,A._Walter_Norblad
Kazimira_Prunskienė,Kazimira_Prunskien%C4%97
James_Henry_Dickey_Henderson,James_Henry_Dickey_Henderson
Kofi_Abrefa_Busia,Kofi_Abrefa_Busia
M._M._Jacob,M._M._Jacob
Shatrughan_Sinha,Shatrughan_Sinha
Guia_Gomez,Guia_Gomez
Myoma_U_Than_Kywe,Myoma_U_Than_Kywe
Ludvig_Holstein-Ledreborg,Ludvig_Holstein-Ledreborg
Andrej_Falkh,Andrej_Falkh
Andrew_To,Andrew_To
Kevin_Sheekey,Kevin_Sheekey
Stephen_Kalong_Ningkan,Stephen_Kalong_Ningkan
